sym,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,per_change_1h,per_change_24h,per_change_7d,last_updated,price_euro,vol_euro_24h,market_cap_euro
BTC,1,2618.23,1.0,1.03536E9,4.3009695629E10,1.6427012E7,1.6427012E7,-0.05,5.0,7.6,1499161759,2302.33269581,9.1044070992E8,3.7820446822E10
ETH,2,286.473,0.10994,7.40964E8,2.6646406064E10,9.3015419E7,9.3015419E7,-0.05,1.22,13.58,1499161751,251.909173131,6.51564470508E8,2.3431437233E10
XRP,3,0.260934,1.0029E-4,6.41466E7,9.991524982E9,3.829138779E10,9.9994608423E10,-0.02,1.88,-1.98,1499162041,0.2294515301,5.64071202702E7,8.786017518E9
LTC,4,50.2407,0.019309,8.6451E8,2.604205703E9,5.1834582E7,5.1834582E7,-0.46,10.92,31.1,1499162041,44.1790088229,7.6020427497E8,2.290000472E9
ETC,5,18.3796,0.00705358,9.4448E7,1.713363883E9,9.3220956E7,9.3220956E7,-0.26,4.17,-2.87,1499161754,16.1620461212,8.3052565456E7,1.50664139E9
XEM,6,0.190129,7.307E-5,1.23584E7,1.711161E9,8.999999999E9,8.999999999E9,0.75,18.97,23.58,1499162048,0.1671893658,1.08673219648E7,1.504704292E9
DASH,7,185.745,0.0712837,4.47799E7,1.374722738E9,7401129.0,7401129.0,0.0,6.55,12.94,1499161766,163.334308515,3.93770707253E7,1.208858316E9
MIOTA,8,0.388978,1.4928E-4,3265750.0,1.08117613E9,2.779530283E9,2.779530283E9,0.17,7.33,2.52,1499161763,0.3420466374,2871727.46525,9.50728987E8
BTS,9,0.261393,1.0046E-4,1.40127E8,6.78722608E8,2.59656E9,2.59656E9,0.85,25.08,8.25,1499162046,0.2298551504,1.23220257069E8,5.96832689E8
XMR,10,45.0528,0.0173151,1.49743E7,6.63573343E8,1.4728792E7,1.4728792E7,0.12,7.01,11.39,1499162044,39.6170445216,1.31676057821E7,5.83511228E8
STRAT,11,6.22636,0.0023895,5933350.0,6.12982984E8,9.8449653E7,9.8449653E7,0.56,9.88,4.26,1499161755,5.4751309869,5217473.52245,5.39024748E8
EOS,12,3.66962,0.0014083,2.88353E8,5.90282914E8,1.60856686E8,1.0E9,0.21,-27.98,0.0,1499161764,3.2268693381,2.53562345491E8,5.19063509E8
ZEC,13,296.685,0.113859,2.05128E7,4.60586774E8,1552444.0,1552444.0,-0.27,4.38,-3.59,1499161757,260.889064695,1.80378691416E7,4.05015598E8
STEEM,14,1.82522,7.0047E-4,1918350.0,4.30743028E8,2.35995128E8,2.52969222E8,5.18,14.01,11.41,1499161754,1.6050017313,1686895.31745,3.7877259E8
ANS,15,8.18633,0.00314168,2.12442E7,4.093165E8,5.0E7,1.0E8,0.37,4.98,45.5,1499161755,7.1986247265,1.86810235374E7,3.59931236E8
BCN,16,0.00219641,8.4E-7,983275.0,4.02146552E8,1.83092661074E11,1.83092661074E11,1.15,3.86,4.24,1499162045,0.0019314065,864639.921425,3.53626364E8
GNT,17,0.473938,1.8188E-4,5841140.0,3.9480552E8,8.33032E8,1.0E9,-0.72,5.21,1.83,1499161757,0.4167559585,5136388.93558,3.4717105E8
SC,18,0.0140497,5.39E-6,1.76933E7,3.85835963E8,2.7462220745E10,2.7462220745E10,-0.79,12.46,-4.6,1499161750,0.0123545615,1.55585502751E7,3.39283696E8
WAVES,19,3.81752,0.00146505,2360770.0,3.81752E8,1.0E8,1.0E8,-0.02,6.23,-5.4,1499161756,3.3569247594,2075936.01719,3.35692476E8
VERI,20,193.638,0.0743126,2229770.0,3.80943009E8,1967295.0,1.0E8,5.86,112.99,166.57,1499161763,170.274994386,1960741.56019,3.34981092E8
BCC,21,54.831,0.0210426,2920630.0,3.74437667E8,6828941.0,6828941.0,0.25,5.86,13.15,1499161759,48.215475357,2568247.22861,3.2926064E8
GNO,22,336.268,0.12905,5901230.0,3.7143827E8,1104590.0,1.0E7,-0.51,0.74,89.13,1499161762,295.696256996,5189228.89681,3.26623129E8
ICN,23,3.79735,0.00145731,2117340.0,3.3036945E8,8.7E7,1.0E8,0.88,18.75,11.75,1499161756,3.3391883304,1861876.57698,2.90509385E8
REP,24,27.7351,0.0106439,3782030.0,3.050861E8,1.1E7,1.1E7,1.45,7.55,15.81,1499161750,24.3887769797,3325716.73441,2.68276547E8
XLM,25,0.0274311,1.054E-5,8103090.0,2.85734049E8,1.0416426936E10,1.03038637279E11,-0.69,10.64,0.33,1499162048,0.0241214555,7125427.88223,2.51259379E8
LSK,26,2.60898,0.00100125,4799000.0,2.84740594E8,1.09138665E8,1.09138665E8,0.47,6.91,7.35,1499161768,2.2941987361,4219986.253,2.50385787E8
DOGE,27,0.00254711,9.8E-7,7052500.0,2.80377285E8,1.10076629797E11,1.10076629797E11,-0.16,3.98,1.67,1499162042,0.0022397935,6201594.7175,2.46548924E8
FCT,28,25.9198,0.0099473,3299720.0,2.26881686E8,8753219.0,8753219.0,0.8,13.63,10.01,1499161751,22.7924983706,2901598.88284,1.9950773E8
GBYTE,29,883.389,0.339019,615432.0,2.25698751E8,255492.0,1000000.0,1.95,8.76,20.59,1499161758,776.805466983,541178.282904,1.98467519E8
GAME,30,3.54094,0.00136089,3724240.0,2.2440839E8,6.3375372E7,6.3375372E7,-0.08,19.77,5.9,1499162045,3.1137149662,3274899.27128,1.97332844E8
MAID,31,0.490372,1.8846E-4,1778910.0,2.21919031E8,4.52552412E8,4.52552412E8,-0.84,10.76,12.69,1499162044,0.4312071471,1564279.17177,1.95143834E8
USDT,32,0.996937,3.8315E-4,1.04566E8,2.19306781E8,2.19980581E8,2.4495151E8,-0.13,-1.66,-1.96,1499162047,0.8766535601,9.1949798402E7,1.9284676E8
SNT,33,0.0588371,2.258E-5,2.27986E7,2.04193202E8,3.470483788E9,6.804870174E9,-1.88,6.66,0.0,1499161764,0.0517382274,2.00478805142E7,1.79556679E8
ARDR,34,0.199332,7.65E-5,3406730.0,1.99132567E8,9.98999495E8,9.98999495E8,-1.42,9.19,-9.73,1499161757,0.1752819962,2995697.80531,1.75106626E8
DCR,35,34.1266,0.0130968,1563720.0,1.79174098E8,5250277.0,5670277.0,-2.05,17.56,7.52,1499161753,30.0091233302,1375052.49084,1.57556206E8
KMD,36,1.77276,6.8034E-4,304927.0,1.78952162E8,1.0094551E8,1.0094551E8,-0.69,15.95,1.11,1499161759,1.5588711877,268136.642669,1.57361047E8
DGB,37,0.01835,7.05E-6,9988360.0,1.60420355E8,8.742253657E9,8.742253657E9,-0.88,-4.48,-1.59,1499162042,0.0161360175,8783234.40092,1.41065158E8
DGD,38,78.4141,0.0300931,250396.0,1.568282E8,2000000.0,2000000.0,-0.23,2.94,0.34,1499161754,68.9532035927,220184.971412,1.37906407E8
NXT,39,0.153983,5.918E-5,7851110.0,1.53829014E8,9.98999983E8,9.98999983E8,-0.02,16.71,-3.68,1499162047,0.1354044891,6903850.02517,1.35269082E8
BAT,40,0.134079,5.146E-5,2329260.0,1.34079E8,1.0E9,1.5E9,-1.17,6.16,-6.71,1499161763,0.1179019664,2048227.79322,1.17901966E8
PIVX,41,2.38909,9.1687E-4,966587.0,1.28447555E8,5.3764218E7,5.3764218E7,-1.25,-0.14,34.6,1499161752,2.1008391242,849965.378689,1.12949972E8
1ST,42,1.41228,5.4199E-4,1.32607E7,1.20832375E8,8.5558371E7,9.3468691E7,1.25,10.29,-5.13,1499161757,1.2418841812,1.16607567629E7,1.06253587E8
BNT,43,2.93053,0.00112465,2532240.0,1.18063746E8,4.0287507E7,7.9699058E7,-0.41,5.46,18.19,1499161763,2.5769527639,2226717.64728,1.03819001E8
SNGLS,44,0.185003,7.1E-5,561667.0,1.110018E8,6.0E8,1.0E9,0.1,11.43,6.11,1499161758,0.162681833,493900.191449,9.76091E7
MGO,45,1.58067,6.0662E-4,620954.0,1.106469E8,7.0E7,1.0E8,-1.23,6.69,-13.76,1499161763,1.3899574225,546034.037038,9.729702E7
MCAP,46,4.94994,0.00189965,300539.0,1.03628597E8,2.0935324E7,1.0E8,-0.05,5.16,11.03,1499161762,4.3527148892,264278.068033,9.1125496E7
BTCD,47,75.3093,0.0289436,2027980.0,9.7063309E7,1288862.0,1288862.0,-0.88,15.09,2.54,1499162047,66.2230070271,1783298.12906,8.5352329E7
SYS,48,0.174781,6.717E-5,1647870.0,9.1915047E7,5.25886947E8,5.25886947E8,1.22,11.9,-3.35,1499162046,0.153693148,1449049.54089,8.082522E7
FUN,49,0.0208907,8.02E-6,121863.0,8.0209075E7,3.839463249E9,1.7173696076E10,-0.55,-10.28,48.74,1499161764,0.0183701744,107159.863461,7.0531609E7
ANT,50,2.36975,9.0944E-4,481914.0,7.9635844E7,3.3605167E7,3.9609523E7,0.13,3.32,12.42,1499161762,2.0838325532,423769.630158,7.0027541E7
NXS,51,1.44322,5.5467E-4,1358380.0,7.3134716E7,5.0674683E7,5.0674683E7,1.71,61.61,82.64,1499162047,1.2690911773,1194487.37786,6.4310793E7
UBQ,52,1.71216,6.5804E-4,877364.0,6.3960503E7,3.7356615E7,3.7356615E7,-2.47,19.91,9.05,1499162046,1.5055827595,771507.401308,5.6243476E7
PPC,53,2.56058,9.8411E-4,2032750.0,6.1922135E7,2.4182855E7,2.4182855E7,-0.62,6.99,7.15,1499162041,2.2516383413,1787492.61425,5.4451044E7
LKK,54,0.369509,1.4181E-4,496099.0,5.9948345E7,1.62237849E8,1.28569E9,0.53,1.54,12.07,1499161759,0.3249266306,436243.167353,5.2715398E7
EMC,55,1.47528,5.67E-4,1094120.0,5.9508554E7,4.0337125E7,4.0337125E7,0.5,18.54,-0.98,1499162045,1.2972830422,962111.13964,5.2328669E7
ARK,56,0.593067,2.276E-4,268681.0,5.6934113E7,9.5999462E7,1.27249462E8,4.65,15.92,8.16,1499161760,0.5215116872,236263.831307,5.0064841E7
XAS,57,0.706073,2.7097E-4,1259020.0,5.2955475E7,7.5E7,1.0E8,2.77,11.33,27.64,1499161761,0.6208831743,1107115.45994,4.6566238E7
