sym,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,per_change_1h,per_change_24h,per_change_7d,last_updated,price_euro,vol_euro_24h,market_cap_euro
BTC,1,2576.05,1.0,1.03095E9,4.2292880486E10,1.6417725E7,1.6417725E7,0.04,-0.18,-4.7,1498769050,2253.8016013,9.019843407E8,3.7002294895E10
ETH,2,312.134,0.121998,1.73776E9,2.899512761E10,9.2893205E7,9.2893205E7,0.06,-3.32,-6.52,1498769057,273.087909404,1.52037665056E9,2.5368011117E10
XRP,3,0.270033,1.0554E-4,1.04501E8,1.0339938319E10,3.829138779E10,9.9994608423E10,0.48,-2.63,-8.09,1498769040,0.2362534919,9.1428551906E7,9.046474075E9
LTC,4,41.7215,0.0163069,3.16183E8,2.159900459E9,5.1769482E7,5.1769482E7,-0.22,-3.69,-12.44,1498769041,36.502390679,2.76630403798E8,1.889709871E9
ETC,5,18.994,0.00742383,1.09089E8,1.767904424E9,9.3076994E7,9.3076994E7,-0.26,-3.1,-7.32,1498769048,16.617964564,9.5442620634E7,1.546750188E9
XEM,6,0.168172,6.573E-5,5342750.0,1.513548E9,8.999999999E9,8.999999999E9,0.12,-4.64,-8.25,1498769055,0.1471346918,4674404.0315,1.324212226E9
DASH,7,177.337,0.0693123,3.94803E7,1.310901423E9,7392148.0,7392148.0,-0.07,-3.86,-0.05,1498769055,155.153205322,3.45415513518E7,1.14691552E9
MIOTA,8,0.42079,1.6447E-4,5387920.0,1.169598548E9,2.779530283E9,2.779530283E9,-2.6,12.19,0.93,1498769054,0.3681516957,4713923.53552,1.023288787E9
BTS,9,0.262906,1.0276E-4,5.31462E7,6.82619655E8,2.59644E9,2.59644E9,0.37,-3.81,-14.82,1498769042,0.2300180368,4.64979292572E7,5.97228032E8
XMR,10,45.542,0.0178001,1.18827E7,6.69660838E8,1.4704247E7,1.4704247E7,-1.16,-1.64,-3.68,1498769042,39.844969052,1.03962455262E7,5.85890285E8
STRAT,11,6.77404,0.00264764,6776840.0,6.66861232E8,9.8443651E7,9.8443651E7,-0.55,-5.65,-4.92,1498769048,5.9266482402,5929097.97704,5.83440893E8
ZEC,12,326.095,0.127454,2.75446E7,5.06244145E8,1552444.0,1552444.0,0.08,-4.19,-13.52,1498769050,285.30247207,2.40989358076E7,4.4291604E8
ANS,13,9.7155,0.00379731,7.05651E7,4.85775E8,5.0E7,1.0E8,2.13,13.3,31.26,1498769049,8.500149243,6.17378293806E7,4.25007462E8
GNT,14,0.521475,2.0382E-4,9056850.0,4.34405362E8,8.33032E8,1.0E9,-2.37,-7.95,-11.81,1498769050,0.4562416063,7923892.4061,3.80063858E8
SC,15,0.0155656,6.08E-6,1.24246E7,4.25515109E8,2.7336890919E10,2.7336890919E10,-0.36,-4.99,-18.56,1498769045,0.0136184368,1.08703570876E7,3.72285722E8
STEEM,16,1.80513,7.0554E-4,2424590.0,4.25176142E8,2.35537685E8,2.52511779E8,-0.71,-5.72,-7.78,1498769047,1.5793190678,2121288.33854,3.71989157E8
BCN,17,0.00229224,9.0E-7,4956040.0,4.1965049E8,1.83074411984E11,1.83074411984E11,0.28,-2.21,-13.41,1498769046,0.0020054945,4336069.13224,3.67154732E8
