sym,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,per_change_1h,per_change_24h,per_change_7d,last_updated,price_euro,vol_euro_24h,market_cap_euro
BTC,1,2510.51,1.0,8.65688E8,4.1236005429E10,1.642535E7,1.642535E7,0.37,2.89,-1.18,1499084348,2207.06967732,7.61054022816E8,3.6251891924E10
ETH,2,283.665,0.113433,1.02665E9,2.6378396581E10,9.2991369E7,9.2991369E7,-0.17,3.83,0.24,1499084347,249.37897878,9.025608678E8,2.3190092543E10
XRP,3,0.256238,1.0247E-4,4.88323E7,9.811708625E9,3.829138779E10,9.9994608423E10,0.05,1.1,-11.44,1499084353,0.2252670254,4.29300375636E7,8.625787027E9
LTC,4,47.3132,0.0189197,6.49916E8,2.451804675E9,5.1820732E7,5.1820732E7,-0.26,20.12,14.67,1499084341,41.5945481424,5.71361952912E8,2.155459947E9
ETC,5,17.6621,0.00706277,7.47294E7,1.64597748E9,9.3192626E7,9.3192626E7,0.2,1.19,-13.61,1499084350,15.5273172972,6.56970068808E7,1.447031474E9
XEM,6,0.160171,6.405E-5,4324380.0,1.441539E9,8.999999999E9,8.999999999E9,0.46,7.12,-2.78,1499084345,0.1408114516,3801700.83816,1.267303064E9
DASH,7,175.861,0.0703236,4.21862E7,1.301257604E9,7399353.0,7399353.0,0.4,3.89,6.09,1499084342,154.605032652,3.70872383784E7,1.1439772E9
MIOTA,8,0.365324,1.4609E-4,3830850.0,1.015429121E9,2.779530283E9,2.779530283E9,1.74,-3.07,-11.24,1499084357,0.3211680188,3367822.8222,8.92696234E8
XMR,9,42.6431,0.0170522,1.20325E7,6.27889326E8,1.4724289E7,1.4724289E7,0.68,4.29,-2.94,1499084343,37.4889137892,1.057815579E7,5.51997599E8
EOS,10,3.94466,0.0015774,5.4331E8,5.94086965E8,1.50605366E8,1.0E9,-11.71,111.16,0.0,1499084358,3.4678768351,4.7764120692E8,5.22280862E8
STRAT,11,5.72186,0.00228807,4801240.0,5.63308553E8,9.8448503E7,9.8448503E7,1.23,3.38,-12.64,1499084352,5.0302702255,4220923.72368,4.95222575E8
BTS,12,0.214122,8.562E-5,5.81402E7,5.55976338E8,2.59654E9,2.59654E9,1.83,3.21,-20.72,1499084345,0.1882415021,5.11129103064E7,4.8877659E8
ZEC,13,288.074,0.115196,2.11339E7,4.47218681E8,1552444.0,1552444.0,1.43,2.5,-5.53,1499084353,253.255071768,1.85794877748E7,3.93164253E8
ANS,14,7.83099,0.00313147,3.70008E7,3.915495E8,5.0E7,1.0E8,0.36,9.2,51.95,1499084351,6.8844739007,3.25285873056E7,3.44223695E8
BCN,15,0.00213389,8.5E-7,987379.0,3.90692484E8,1.83089326857E11,1.83089326857E11,0.55,-3.66,-14.67,1499084345,0.001875971,868036.475028,3.43470265E8
STEEM,16,1.59881,6.3933E-4,1588280.0,3.77209939E8,2.35931686E8,2.5290578E8,-0.55,0.59,-11.1,1499084350,1.4055650329,1396307.77296,3.31617328E8
GNO,17,337.859,0.135104,7272220.0,3.73195673E8,1104590.0,1.0E7,0.68,8.53,67.33,1499084356,297.022658388,6393241.31304,3.28088258E8
GNT,18,0.444073,1.7758E-4,4656860.0,3.69927019E8,8.33032E8,1.0E9,-0.23,1.63,-14.04,1499084353,0.3903987846,4093994.64552,3.2521468E8
SC,19,0.0132236,5.29E-6,1.73002E7,3.62837267E8,2.7438614834E10,2.7438614834E10,5.37,8.06,-11.2,1499084347,0.0116252899,1.52091594264E7,3.18981852E8
