sym,name,rank,price_usd,price_btc,percent_change1h,percent_change1d,vol,last_up
KMD,32,1.77448,7.0507E-4,432372.0,1.79125789E8,1.0094551E8,1.0094551E8,-0.54,-3.63,-6.02,1498745350,1.5557292035,379070.909328,1.57043878E8
DCR,33,34.1605,0.0135732,1152270.0,1.7817756E8,5215894.0,5635894.0,1.51,-6.67,-17.06,1498745346,29.949330202,1010222.76348,1.56212543E8
DGB,34,0.0200529,7.97E-6,7125170.0,1.74898301E8,8.721845781E9,8.721845781E9,0.07,-7.49,-25.93,1498745341,0.0175808587,6246807.54308,1.53337538E8
NXT,35,0.166182,6.603E-5,8523480.0,1.66015815E8,9.98999983E8,9.98999983E8,0.62,-4.03,-2.11,1498745344,0.1456957478,7472739.47952,1.4555005E8
DGD,36,82.3547,0.0327225,907218.0,1.647094E8,2000000.0,2000000.0,-0.18,-6.73,-9.46,1498745347,72.2023420028,795379.793832,1.44404684E8
BAT,37,0.155826,6.192E-5,2229590.0,1.55826E8,1.0E9,1.5E9,1.53,-5.22,-14.55,1498745353,0.136616394,1954735.06316,1.36616394E8
1ST,38,1.81287,7.2032E-4,1.76554E7,1.55106203E8,8.5558371E7,9.3468691E7,0.04,1.78,-8.28,1498745350,1.5893866379,1.54789129096E7,1.35985331E8
USDT,39,1.02595,4.0764E-4,1.25872E8,1.4844863E8,1.44693825E8,1.64951556E8,0.57,1.06,5.17,1498745344,0.8994749878,1.10355003328E8,1.30148476E8
BNT,40,3.22626,0.00128191,6707640.0,1.31267485E8,4.06872E7,8.0198751E7,-1.65,-4.93,-82.5,1498745354,2.8285395722,5880748.97136,1.15085354E8
MGO,41,1.7936,7.1266E-4,500695.0,1.25552E8,7.0E7,1.0E8,-1.0,-7.03,-9.02,1498745354,1.5724921664,438971.32318,1.10074452E8
SNGLS,42,0.185169,7.357E-5,397666.0,1.111014E8,6.0E8,1.0E9,-0.53,-8.49,-2.82,1498745350,0.1623421064,348643.326184,9.7405264E7
SYS,43,0.189406,7.526E-5,1862280.0,9.9585621E7,5.25778598E8,5.25778598E8,1.16,-4.03,-14.22,1498745343,0.1660567859,1632705.57072,8.7309104E7
PIVX,44,1.84964,7.3493E-4,437331.0,9.9387221E7,5.3733278E7,5.3733278E7,0.96,0.95,9.47,1498745347,1.6216237794,383418.583644,8.7135162E7
BTCD,45,75.0273,0.0298111,392571.0,9.669985E7,1288862.0,1288862.0,-0.22,-4.04,-7.0,1498745343,65.7782345652,344176.417404,8.4779079E7
MCAP,46,4.70063,0.00186773,77632.7,9.3839777E7,1.9963234E7,1.0E8,0.71,0.61,-4.19,1498745353,4.1211551361,68062.4512748,8.2271584E7
ANT,47,2.66076,0.00105721,1284960.0,8.9415284E7,3.3605167E7,3.9609523E7,-2.3,0.52,-6.22,1498745353,2.3327521502,1126555.27104,7.8392526E7
UBQ,48,1.7473,6.9427E-4,427593.0,6.5205361E7,3.7317782E7,3.7317782E7,4.46,0.17,-14.2,1498745343,1.5318998452,374881.045332,5.7167105E7
EMC,49,1.56898,6.2341E-4,1224100.0,6.3256074E7,4.0316686E7,4.0316686E7,1.6,-2.82,-18.68,1498745343,1.3755624215,1073197.8484,5.5458118E7
PPC,50,2.56112,0.00101763,2527810.0,6.1921371E7,2.4177458E7,2.4177458E7,1.92,-1.61,9.68,1498745340,2.2453953709,2216191.69444,5.4287952E7
LKK,51,0.377975,1.5018E-4,919340.0,6.1349667E7,1.62311442E8,1.28569E9,2.22,1.17,-4.53,1498745350,0.3313797539,806007.44216,5.3786726E7
ARK,52,0.62393,2.4791E-4,455423.0,5.9832304E7,9.589586E7,1.2714586E8,2.35,4.81,-5.31,1498745352,0.5470144053,399280.274252,5.2456417E7
ROUND,53,0.0679965,2.702E-5,378542.0,5.7797025E7,8.5E8,1.0E9,0.5,-11.81,-15.73,1498745350,0.0596141635,331876.856408,5.0672039E7
NMR,54,46.3245,0.0184064,4000500.0,5.6675766E7,1223451.0,2223451.0,3.1,-10.89,0.0,1498745354,40.613800938,3507334.362,4.9689004E7
LEO,55,0.592933,2.3559E-4,177483.0,5.0865985E7,8.578707E7,9.4038425E7,-1.15,-4.43,11.24,1498745346,0.5198385915,155603.605692,4.459543E7
NXS,56,0.965687,3.837E-4,200691.0,4.8817739E7,5.0552341E7,5.0552341E7,0.89,8.72,3.41,1498745344,0.8466409694,175950.616284,4.2799683E7
XAS,57,0.648944,2.5785E-4,1106450.0,4.86708E7,7.5E7,1.0E8,3.46,2.23,-16.96,1498745352,0.5689447795,970051.2698,4.2670858E7
RDD,58,0.00168601,6.7E-7,933999.0,4.8133732E7,2.8548900481E10,2.8548900481E10,1.56,-1.0,-1.86,1498745342,0.0014781654,818859.339276,4.2199998E7
CLOAK,59,9.46569,0.00376106,871381.0,4.7809327E7,5050802.0,5050802.0,-1.8,-8.33,76.81,1498745343,8.2987975996,763960.635844,4.1915584E7
