sym,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,per_change_1h,per_change_24h,per_change_7d,last_updated,price_euro,vol_euro_24h,market_cap_euro
BTC,1,2487.55,1.0,8.22014E8,4.0858319694E10,1.6425125E7,1.6425125E7,-0.2,1.63,-2.36,1499077150,2179.5564843,7.20237158604E8,3.5799487699E10
ETH,2,282.831,0.114422,1.02441E9,2.6300185302E10,9.2989048E7,9.2989048E7,0.09,3.4,-0.49,1499077148,247.812562566,8.9757370026E8,2.3043854159E10
XRP,3,0.25613,1.0362E-4,4.68667E7,9.807573155E9,3.829138779E10,9.9994608423E10,-0.03,0.94,-11.47,1499077155,0.2244175202,4.10639464062E7,8.593258292E9
LTC,4,45.612,0.0184528,5.33558E8,2.36359137E9,5.1819507E7,5.1819507E7,1.61,16.73,9.25,1499077141,39.964595832,4.67496049788E8,2.070945668E9
ETC,5,17.6268,0.00713112,7.29469E7,1.64264359E9,9.3190119E7,9.3190119E7,-0.28,-0.05,-14.58,1499077151,15.4443553848,6.39150525234E7,1.439261316E9
XEM,6,0.159775,6.464E-5,4224150.0,1.437975E9,8.999999999E9,8.999999999E9,0.15,5.35,-4.27,1499077146,0.1399926181,3701141.0919,1.259933563E9
DASH,7,174.358,0.0705384,4.02566E7,1.290108107E9,7399191.0,7399191.0,0.15,2.88,4.67,1499077142,152.770038588,3.52722693276E7,1.130374662E9
MIOTA,8,0.364768,1.4757E-4,3650100.0,1.013883702E9,2.779530283E9,2.779530283E9,1.08,-6.68,-10.98,1499077159,0.3196046148,3198166.5186,8.88350706E8
EOS,9,5.15081,0.00208381,7.27026E8,7.75739628E8,1.50605366E8,1.0E9,-1.92,278.96,0.0,1499077160,4.5130676107,6.37010002836E8,6.79692201E8
XMR,10,41.99,0.0169875,1.19022E7,6.18243426E8,1.4723587E7,1.4723587E7,-0.31,2.2,-5.46,1499077144,36.79105014,1.04285410092E7,5.41696234E8
STRAT,11,5.67067,0.00229413,4648060.0,5.58268356E8,9.8448394E7,9.8448394E7,0.31,1.48,-13.79,1499077151,4.9685616646,4072565.09916,4.89146918E8
BTS,12,0.208993,8.455E-5,5.39358E7,5.42658684E8,2.59654E9,2.59654E9,0.09,-1.91,-24.16,1499077146,0.1831167407,4.72577928588E7,4.75469942E8
ZEC,13,283.423,0.114662,1.71428E7,4.39998265E8,1552444.0,1552444.0,-0.44,-1.24,-6.44,1499077154,248.331264678,1.50202813608E7,3.8552032E8
ANS,14,7.83011,0.00316775,3.77817E7,3.915055E8,5.0E7,1.0E8,0.29,6.2,46.64,1499077152,6.8606327605,3.31037965962E7,3.43031638E8
BCN,15,0.00211717,8.6E-7,1068290.0,3.87631041E8,1.83089237484E11,1.83089237484E11,0.41,-5.39,-15.71,1499077143,0.0018550347,936020.74194,3.39636891E8
STEEM,16,1.6004,6.4746E-4,1496260.0,3.77567498E8,2.35920706E8,2.528948E8,0.58,0.63,-11.62,1499077151,1.4022480744,1311002.06436,3.30819356E8
GNT,17,0.445924,1.804E-4,4454780.0,3.71468962E8,8.33032E8,1.0E9,-1.38,0.03,-14.23,1499077154,0.3907123659,3903215.86908,3.25475904E8
GNO,18,335.913,0.135897,7731780.0,3.71046141E8,1104590.0,1.0E7,1.13,12.88,66.2,1499077158,294.322267818,6774477.39108,3.25105434E8
WAVES,19,3.56748,0.00144326,2673620.0,3.56748E8,1.0E8,1.0E8,-0.61,-2.32,-10.6,1499077151,3.1257760313,2342588.41332,3.12577603E8
BCC,20,51.7966,0.0209549,2587910.0,3.53440252E8,6823619.0,6823619.0,0.19,2.21,1.78,1499077155,45.3834557676,2267490.51126,3.096794E8
SC,21,0.0125896,5.09E-6,1.5267E7,3.45415231E8,2.7436553247E10,2.7436553247E10,1.43,-0.39,-15.8,1499077148,0.0110308313,1.3376731662E7,3.02647989E8
REP,22,25.7753,0.0104277,1820870.0,2.835283E8,1.1E7,1.1E7,-0.01,3.91,-0.22,1499077149,22.5839570058,1595420.80182,2.48423527E8
ICN,23,3.19641,0.00129314,2189720.0,2.7808767E8,8.7E7,1.0E8,-0.1,-3.97,-13.33,1499077154,2.8006496923,1918602.00792,2.43656523E8
DOGE,24,0.00247377,1.0E-6,6162950.0,2.72270053E8,1.10062799905E11,1.10062799905E11,2.18,4.46,-12.74,1499077142,0.0021674826,5399890.5087,2.38559208E8
LSK,25,2.43106,9.8351E-4,4240090.0,2.65225084E8,1.09098535E8,1.09098535E8,-0.63,2.85,-15.03,1499077150,2.1300607372,3715107.49674,2.32386506E8
