sym,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,per_change_1h,per_change_24h,per_change_7d,last_updated,price_euro,vol_euro_24h,market_cap_euro
BTC,1,2617.47,1.0,9.32922E8,4.2998258088E10,1.6427412E7,1.6427412E7,0.1,1.83,9.3,1499176459,2305.69791336,8.21799794736E8,3.787664957E10
ETH,2,283.404,0.108693,6.18737E8,2.6362181902E10,9.3019795E7,9.3019795E7,-0.76,-1.36,17.84,1499176448,249.647182752,5.45037998456E8,2.3222129691E10
XRP,3,0.260659,9.997E-5,5.36598E7,9.98099485E9,3.829138779E10,9.9994608423E10,-0.02,0.2,0.59,1499176440,0.2296113852,4.72682739024E7,8.792138591E9
LTC,4,52.5671,0.0201609,8.37712E8,2.724917208E9,5.1836932E7,5.1836932E7,3.98,9.93,40.46,1499176441,46.3057275848,7.37930448256E8,2.400346869E9
ETC,5,18.4785,0.00708698,8.43759E7,1.722673777E9,9.3225845E7,9.3225845E7,0.13,2.28,4.55,1499176451,16.277488908,7.43257177992E7,1.517482658E9
XEM,6,0.189531,7.269E-5,1.29719E7,1.705779E9,8.999999999E9,8.999999999E9,-0.35,14.62,26.99,1499176446,0.1669555835,1.14267910472E7,1.502600252E9
DASH,7,186.938,0.0716956,4.48445E7,1.38361425E9,7401461.0,7401461.0,0.25,4.36,17.26,1499176464,164.671440944,3.9502981916E7,1.21880919E9
MIOTA,8,0.397052,1.5228E-4,3079300.0,1.103618058E9,2.779530283E9,2.779530283E9,0.61,6.37,7.03,1499176460,0.3497583422,2712518.4184,9.72163904E8
BTS,9,0.25888,9.929E-5,1.02098E8,6.72200042E8,2.59657E9,2.59657E9,-0.18,7.2,11.28,1499176445,0.2280442854,8.9936903024E7,5.9213295E8
XMR,10,45.0178,0.0172655,1.40364E7,6.63097728E8,1.4729679E7,1.4729679E7,-0.17,3.69,13.28,1499176444,39.6556398064,1.23644963232E7,5.84114832E8
STRAT,11,6.41513,0.00246037,6228130.0,6.3156871E8,9.8449869E7,9.8449869E7,2.92,8.59,12.61,1499176452,5.6510110354,5486284.97944,5.56341298E8
EOS,12,3.32538,0.00127537,2.04145E8,5.40810191E8,1.62631095E8,1.0E9,-5.37,-17.98,0.0,1499176461,2.9292873374,1.7982888076E8,4.76393207E8
ZEC,13,294.421,0.112918,2.01706E7,4.57072041E8,1552444.0,1552444.0,-0.4,1.44,1.13,1499176454,259.351925848,1.77680394928E7,4.02629276E8
WAVES,14,4.4381,0.00170213,3813580.0,4.4381E8,1.0E8,1.0E8,1.06,19.83,12.94,1499176452,3.9094690328,3359336.85904,3.90946903E8
STEEM,15,1.80954,6.9401E-4,2207380.0,4.27051611E8,2.36000095E8,2.52974189E8,-0.73,10.18,15.08,1499176450,1.5940020715,1944454.55344,3.7618464E8
ANS,16,8.14593,0.00312418,1.7246E7,4.072965E8,5.0E7,1.0E8,-0.33,-1.49,34.98,1499176456,7.1756519858,1.5191794448E7,3.58782599E8
BCN,17,0.00218898,8.4E-7,908992.0,4.00787195E8,1.83093127745E11,1.83093127745E11,0.73,1.69,8.73,1499176444,0.0019282462,800720.144896,3.5304863E8
GNT,18,0.474049,1.8181E-4,5066860.0,3.94897987E8,8.33032E8,1.0E9,0.18,1.12,5.61,1499176456,0.4175840755,4463336.17168,3.47860898E8
VERI,19,194.308,0.0745223,2203150.0,3.82261097E8,1967295.0,1.0E8,1.36,75.65,166.35,1499176460,171.163585504,1940728.3972,3.36729213E8
SC,20,0.0139123,5.34E-6,1.12118E7,3.82125183E8,2.7466715309E10,2.7466715309E10,-0.11,0.63,-1.25,1499176448,0.0122551781,9876340.0784,3.36609489E8
BCC,21,54.926,0.0210656,2699710.0,3.75141121E8,6829937.0,6829937.0,0.27,3.06,15.45,1499176456,48.383654288,2378142.14248,3.30457312E8
GNO,22,334.259,0.128197,5006770.0,3.69219149E8,1104590.0,1.0E7,-0.37,-4.05,91.51,1499176459,294.444741992,4410403.61176,3.25240718E8
ICN,23,3.87176,0.00148492,2307140.0,3.3684312E8,8.7E7,1.0E8,1.9,10.73,19.88,1499176455,3.4105869229,2032331.94032,2.96721062E8
REP,24,28.3437,0.0108706,3458290.0,3.117807E8,1.1E7,1.1E7,0.29,3.63,24.42,1499176448,24.9676252056,3046366.16152,2.74643877E8
LSK,25,2.65932,0.00101992,4595880.0,2.90253237E8,1.0914566E8,1.0914566E8,1.89,5.27,12.91,1499176467,2.3425630762,4048455.54144,2.55680593E8
XLM,26,0.0272567,1.045E-5,7679690.0,2.83921782E8,1.041658683E10,1.03038637279E11,-0.14,5.92,2.81,1499176446,0.0240100999,6764946.76472,2.50103291E8
DOGE,27,0.0025642,9.8E-7,5680320.0,2.82258494E8,1.10076629797E11,1.10076629797E11,-0.05,-0.1,5.89,1499176442,0.002258773,5003725.72416,2.4863812E8
GBYTE,28,901.562,0.345773,640823.0,2.30341805E8,255492.0,1000000.0,2.42,7.72,26.64,1499176454,794.175147056,564493.290824,2.02905332E8
MAID,29,0.496831,1.9055E-4,1873150.0,2.24842067E8,4.52552412E8,4.52552412E8,0.07,7.03,18.22,1499176444,0.4376524659,1650035.3572,1.98060679E8
GAME,30,3.49432,0.00134016,3706190.0,2.21460833E8,6.3377376E7,6.3377376E7,-0.85,12.37,7.79,1499176447,3.0781045562,3264738.29672,1.9508219E8
FCT,31,25.0777,0.00961798,3657550.0,2.195106E8,8753219.0,8753219.0,-0.99,6.16,11.44,1499176448,22.0906449976,3221891.9044,1.93364254E8
USDT,32,0.997357,3.8251E-4,8.95362E7,2.19399173E8,2.19980581E8,2.4495151E8,-0.02,-0.38,-2.29,1499176453,0.878559813,7.88713641456E7,1.93266098E8
ARDR,33,0.202148,7.753E-5,3343030.0,2.0194575E8,9.98999495E8,9.98999495E8,-0.52,6.31,-0.66,1499176452,0.1780697474,2944835.01064,1.77891588E8
SNT,34,0.0572036,2.194E-5,2.04184E7,1.98524166E8,3.470483788E9,6.804870174E9,-1.61,1.11,0.0,1499176460,0.0503899648,1.79863235392E7,1.74877556E8
DCR,35,35.9671,0.0137943,1728100.0,1.88880709E8,5251486.0,5671486.0,3.36,17.27,16.57,1499176449,31.6829867848,1522262.5528,1.6638275E8
KMD,36,1.8119,6.9491E-4,301984.0,1.8290317E8,1.0094551E8,1.0094551E8,2.4,12.94,8.57,1499176456,1.5960809672,266014.081792,1.61117207E8
DGB,37,0.0185934,7.13E-6,8453570.0,1.62548219E8,8.742253657E9,8.742253657E9,-0.81,-5.67,0.23,1499176441,0.0163787029,7446648.37016,1.43186776E8
DGD,38,79.2019,0.030376,249227.0,1.584038E8,2000000.0,2000000.0,-0.33,1.76,3.37,1499176451,69.7680032872,219541.073576,1.39536007E8
NXT,39,0.15471,5.934E-5,7821720.0,1.54555287E8,9.98999983E8,9.98999983E8,-0.79,9.26,-2.54,1499176446,0.1362821825,6890059.28736,1.36145898E8
FUN,40,0.0360858,1.384E-5,136121.0,1.38550103E8,3.839463249E9,1.7173696076E10,62.17,47.92,199.6,1499176460,0.0317875482,119907.355448,1.22047123E8
BAT,41,0.135147,5.183E-5,2373350.0,1.35147E8,1.0E9,1.5E9,-1.12,3.51,1.07,1499176460,0.1190493705,2090655.5348,1.19049371E8
