sym,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,per_change_1h,per_change_24h,per_change_7d,last_updated,price_euro,vol_euro_24h,market_cap_euro
BTC,1,2614.75,1.0,1.00477E9,4.2953086569E10,1.6427225E7,1.6427225E7,0.29,3.99,8.08,1499169256,2299.27256825,8.8354148519E8,3.7770667815E10
ETH,2,286.951,0.110405,6.90368E8,2.6691485321E10,9.3017572E7,9.3017572E7,-0.04,0.77,16.55,1499169249,252.329500997,6.07073029696E8,2.3471077542E10
XRP,3,0.261475,1.006E-4,6.25419E7,1.0012240622E10,3.829138779E10,9.9994608423E10,0.58,2.03,-0.42,1499169240,0.2299272568,5.49960321393E7,8.804233755E9
LTC,4,50.5852,0.0194628,7.94753E8,2.622122154E9,5.1835757E7,5.1835757E7,0.93,6.9,33.98,1499169241,44.4819438644,6.98863666291E8,2.30575525E9
ETC,5,18.3933,0.00707687,9.12019E7,1.714684712E9,9.3223332E7,9.3223332E7,0.1,3.92,0.29,1499169252,16.1740931751,8.01981171593E7,1.507802858E9
XEM,6,0.190442,7.327E-5,1.28117E7,1.713978E9,8.999999999E9,8.999999999E9,0.34,19.04,25.81,1499169266,0.1674646014,1.12659299599E7,1.507181412E9
DASH,7,185.698,0.071448,4.51306E7,1.374402986E9,7401280.0,7401280.0,0.32,5.64,14.06,1499169262,163.292979206,3.96854577182E7,1.208577143E9
MIOTA,8,0.388445,1.4945E-4,3125110.0,1.079694641E9,2.779530283E9,2.779530283E9,0.49,7.23,2.76,1499169259,0.3415779454,2748056.10317,9.49426243E8
BTS,9,0.260256,1.0013E-4,1.3669E8,6.75772922E8,2.59657E9,2.59657E9,0.48,21.64,9.7,1499169246,0.2288553328,1.2019794143E8,5.94238892E8
XMR,10,45.0382,0.0173286,1.45018E7,6.63387357E8,1.4729438E7,1.4729438E7,0.67,5.93,11.97,1499169244,39.6042060554,1.27521143246E7,5.83347682E8
STRAT,11,6.1747,0.00237573,5946280.0,6.07897729E8,9.8449759E7,9.8449759E7,-0.1,8.05,5.95,1499169254,5.4297039209,5228843.47916,5.34553044E8
EOS,12,3.42983,0.00131964,2.41438E8,5.56437696E8,1.62234774E8,1.0E9,1.7,-19.47,0.0,1499169260,3.016010721,2.12307780986E8,4.89301819E8
ZEC,13,296.25,0.113983,2.13696E7,4.59911461E8,1552444.0,1552444.0,0.45,3.57,-1.48,1499169254,260.50654875,1.87912936512E7,4.04421763E8
STEEM,14,1.80763,6.9549E-4,2239080.0,4.26600851E8,2.36000095E8,2.52974189E8,-1.08,12.59,12.29,1499169250,1.5895340176,1968928.28076,3.75130178E8
WAVES,15,4.2337,0.00162893,2941140.0,4.2337E8,1.0E8,1.0E8,11.91,17.33,5.35,1499169256,3.7228913939,2586282.63558,3.72289139E8
ANS,16,8.12621,0.00312658,1.9916E7,4.063105E8,5.0E7,1.0E8,-0.12,3.15,36.96,1499169252,7.1457583849,1.7513074852E7,3.57287919E8
BCN,17,0.00216515,8.3E-7,920645.0,3.96423824E8,1.8309300716E11,1.8309300716E11,-1.18,1.82,4.96,1499169244,0.0019039182,809566.418815,3.48594101E8
GNT,18,0.472438,1.8177E-4,5553490.0,3.93555972E8,8.33032E8,1.0E9,-0.09,5.8,2.84,1499169254,0.415436938,4883444.77103,3.46072263E8
VERI,19,196.84,0.0757346,2211330.0,3.87242287E8,1967295.0,1.0E8,-10.2,68.21,167.41,1499169259,173.09066348,1944526.40151,3.40520343E8
SC,20,0.013896,5.35E-6,1.71816E7,3.81648851E8,2.7464655372E10,2.7464655372E10,-0.2,7.87,-3.81,1499169248,0.0122194059,1.51085884152E7,3.35601772E8
BCC,21,54.5529,0.0209894,2854200.0,3.72566859E8,6829460.0,6829460.0,0.26,4.65,13.05,1499169255,47.9709289563,2509832.2074,3.27615549E8
GNO,22,336.786,0.129579,5520100.0,3.72010448E8,1104590.0,1.0E7,0.36,-0.27,90.73,1499169258,296.151758742,4854083.3747,3.27126271E8
ICN,23,3.78286,0.00145547,2276800.0,3.2910882E8,8.7E7,1.0E8,1.23,12.29,12.63,1499169253,3.3264465924,2002097.2496,2.89400854E8
REP,24,28.1599,0.0108346,4016240.0,3.097589E8,1.1E7,1.1E7,1.06,8.83,19.94,1499169250,24.7623235853,3531668.59528,2.72385559E8
XLM,25,0.0275523,1.06E-5,8247030.0,2.87000363E8,1.0416566427E10,1.03038637279E11,-0.26,10.01,1.98,1499169244,0.0242280323,7252001.08941,2.52372908E8
LSK,26,2.6091,0.00100386,4676810.0,2.84762836E8,1.0914217E8,1.0914217E8,0.15,7.48,9.61,1499169251,2.2943042577,4112538.84307,2.50405345E8
DOGE,27,0.00255356,9.8E-7,6018290.0,2.81087279E8,1.10076629797E11,1.10076629797E11,0.18,2.3,3.61,1499169242,0.0022454653,5292165.25663,2.47173255E8
GBYTE,28,895.871,0.344689,614205.0,2.28887801E8,255492.0,1000000.0,2.69,8.14,23.19,1499169255,787.781476237,540099.324135,2.01271801E8
GAME,29,3.52286,0.00135543,3687280.0,2.23265649E8,6.3376248E7,6.3376248E7,-0.02,18.35,6.23,1499169245,3.0978163724,3242398.60616,1.96327979E8
MAID,30,0.491852,1.8924E-4,1819970.0,2.22588809E8,4.52552412E8,4.52552412E8,0.71,9.64,14.55,1499169244,0.4325085806,1600385.15959,1.95732801E8
FCT,31,25.3138,0.00973956,3534050.0,2.21577235E8,8753219.0,8753219.0,-0.58,11.62,9.98,1499169248,22.2596140886,3107656.26535,1.94843277E8
USDT,32,0.997422,3.8376E-4,1.03728E8,2.19413471E8,2.19980581E8,2.4495151E8,-0.04,-1.31,-2.33,1499169246,0.8770800434,9.1212905616E7,1.92940578E8
SNT,33,0.0580359,2.233E-5,2.19874E7,2.0141265E8,3.470483788E9,6.804870174E9,1.29,5.15,0.0,1499169260,0.0510336946,1.93345542278E7,1.7711161E8
ARDR,34,0.201613,7.757E-5,3466300.0,2.01411285E8,9.98999495E8,9.98999495E8,0.31,10.1,-5.33,1499169252,0.1772877867,3048080.5061,1.77110409E8
DCR,35,34.2113,0.0131629,1549550.0,1.79643676E8,5251004.0,5671004.0,-1.26,15.29,9.01,1499169250,30.0836040211,1362592.14385,1.57969128E8
KMD,36,1.76679,6.7978E-4,298937.0,1.78349518E8,1.0094551E8,1.0094551E8,1.56,15.57,1.8,1499169255,1.5536214861,262869.354139,1.56831113E8
