sym,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,per_change_1h,per_change_24h,per_change_7d,last_updated,price_euro,vol_euro_24h,market_cap_euro
BTC,1,2570.4,1.0,1.00718E9,4.2220393085E10,1.6425612E7,1.6425612E7,-0.75,5.29,3.12,1499095150,2259.7208928,8.8544416776E8,3.7117298613E10
ETH,2,286.415,0.11225,1.11048E9,2.663509406E10,9.299476E7,9.299476E7,-1.08,5.68,5.35,1499095149,251.79659178,9.7625850336E8,2.3415763511E10
XRP,3,0.259632,1.0175E-4,6.29618E7,9.941669595E9,3.829138779E10,9.9994608423E10,-0.9,2.51,-8.43,1499095156,0.2282507994,5.53517331576E7,8.740039874E9
LTC,4,47.6547,0.0186765,7.2941E8,2.469591999E9,5.1822632E7,5.1822632E7,-1.23,21.61,19.55,1499095141,41.8947717204,6.4124767212E8,2.171097353E9
ETC,5,18.0383,0.00706942,8.92649E7,1.681108122E9,9.3196594E7,9.3196594E7,-0.69,3.55,-8.14,1499095160,15.8580467556,7.84756300668E7,1.477915945E9
XEM,6,0.165494,6.486E-5,4700430.0,1.489446E9,8.999999999E9,8.999999999E9,-0.66,10.72,4.02,1499095146,0.1454910712,4132298.42676,1.309419641E9
DASH,7,181.01,0.07094,4.4894E7,1.339405785E9,7399623.0,7399623.0,0.47,7.13,12.38,1499095142,159.13168332,3.9467752008E7,1.177514486E9
MIOTA,8,0.37516,1.4703E-4,4324720.0,1.042768581E9,2.779530283E9,2.779530283E9,-1.14,0.8,-5.26,1499095161,0.3298151611,3801999.74304,9.16731228E8
XMR,9,43.5816,0.0170802,1.25332E7,6.4172505E8,1.4724679E7,1.4724679E7,-0.66,6.58,3.24,1499095144,38.3139791712,1.10183371824E7,5.64161027E8
EOS,10,4.00964,0.00157143,4.47265E8,6.35377031E8,1.58462363E8,1.0E9,0.57,80.79,0.0,1499095161,3.5250028325,3.9320497398E8,5.5858028E8
BTS,11,0.237114,9.293E-5,1.06212E8,6.15675986E8,2.59654E9,2.59654E9,-3.44,16.31,-6.69,1499095144,0.208454505,9.3374367984E7,5.41260461E8
STRAT,12,5.9595,0.0023356,5340360.0,5.86704839E8,9.8448668E7,9.8448668E7,-0.82,8.06,-4.11,1499095152,5.239187154,4694881.36752,5.15790999E8
ZEC,13,288.753,0.113166,2.40554E7,4.4827279E8,1552444.0,1552444.0,-1.71,2.93,-1.44,1499095154,253.852002396,2.11478719128E7,3.94090955E8
ANS,14,8.23204,0.00322624,3.86934E7,4.11602E8,5.0E7,1.0E8,-1.35,15.23,68.51,1499095153,7.2370497893,3.40166061288E7,3.61852489E8
BCN,15,0.00219345,8.6E-7,1088630.0,4.01598241E8,1.83089763127E11,1.83089763127E11,0.43,-0.31,-8.66,1499095144,0.0019283321,957049.46916,3.53057865E8
STEEM,16,1.64481,6.4462E-4,1883230.0,3.88079676E8,2.35941948E8,2.52916042E8,-1.46,4.78,-3.17,1499095151,1.4460051049,1655607.75636,3.41173262E8
GNT,17,0.46496,1.8222E-4,5309040.0,3.87326559E8,8.33032E8,1.0E9,-1.61,7.54,-4.27,1499095154,0.4087612147,4667346.95328,3.40511172E8
GNO,18,342.987,0.134421,8366220.0,3.7886001E8,1104590.0,1.0E7,-3.32,9.59,75.16,1499095159,301.530847284,7355011.72104,3.33067959E8
WAVES,19,3.73362,0.00146325,2780670.0,3.73362E8,1.0E8,1.0E8,-1.07,2.74,-2.54,1499095151,3.2823448178,2444575.97844,3.28234482E8
SC,20,0.0135768,5.32E-6,2.13042E7,3.72559118E8,2.74408637E10,2.74408637E10,-2.83,11.15,-5.01,1499095149,0.0119357993,1.87292039544E7,3.27528643E8
BCC,21,53.4489,0.0209473,3181240.0,3.64788846E8,6825002.0,6825002.0,-0.73,5.83,7.0,1499095155,46.9886383548,2796729.88368,3.20697548E8
REP,22,27.8968,0.0109331,2524480.0,3.068648E8,1.1E7,1.1E7,-0.35,12.72,14.28,1499095149,24.5249695776,2219351.15136,2.69774665E8
ICN,23,3.42362,0.00134176,2261040.0,2.9785494E8,8.7E7,1.0E8,-3.48,7.91,-4.38,1499095153,3.0098138978,1987752.61728,2.61853809E8
DOGE,24,0.00257254,1.01E-6,7823960.0,2.83140955E8,1.10062799905E11,1.10062799905E11,-0.79,9.72,-4.48,1499095141,0.0022616022,6878293.60272,2.48918274E8
LSK,25,2.54027,9.9557E-4,4483010.0,2.77161734E8,1.09107195E8,1.09107195E8,-1.64,6.82,-4.42,1499095150,2.2332326456,3941157.54732,2.4366175E8
XLM,26,0.0260274,1.02E-5,7680490.0,2.70729029E8,1.0401693167E10,1.03038637279E11,0.18,6.59,-13.45,1499095144,0.0228815202,6752164.53468,2.38006552E8
GBYTE,27,892.957,0.349961,784904.0,2.28143297E8,255492.0,1000000.0,5.54,0.62,19.74,1499095155,785.027073324,690034.223328,2.00568073E8
USDT,28,1.00384,3.9342E-4,9.55992E7,2.20825317E8,2.19980591E8,2.4495151E8,0.78,-1.57,-1.93,1499095146,0.8825078669,8.40443158944E7,1.94134602E8
MAID,29,0.466532,1.8284E-4,1715870.0,2.11130182E8,4.52552412E8,4.52552412E8,-0.68,8.47,3.56,1499095142,0.4101432102,1508476.22484,1.85611299E8
FCT,30,24.0368,0.00942032,3049600.0,2.10399374E8,8753219.0,8753219.0,-0.01,10.71,-2.25,1499095148,21.1315200576,2681000.9472,1.84968823E8
VERI,31,106.774,0.0418463,803863.0,2.10055923E8,1967295.0,1.0E8,-5.79,30.5,39.8,1499095160,93.868440168,706701.686916,1.84666884E8
SNT,32,0.0566214,2.219E-5,2.58126E7,1.96503651E8,3.470483788E9,6.804870174E9,0.64,36.35,0.0,1499095161,0.0497776846,2.26926826632E7,1.72752647E8
GAME,33,3.03674,0.00119014,2643410.0,1.92429638E8,6.3367176E7,6.3367176E7,-4.19,1.87,-13.74,1499095146,2.6696953097,2323906.32012,1.69171053E8
ARDR,34,0.189066,7.41E-5,3415140.0,1.88876839E8,9.98999495E8,9.98999495E8,-2.37,5.73,-18.12,1499095152,0.1662139707,3002358.85848,1.66047673E8
DGB,35,0.0194877,7.64E-6,1.62706E7,1.70366417E8,8.742253657E9,8.742253657E9,-1.8,28.56,-2.37,1499095141,0.0171322607,1.43040051192E7,1.49774569E8
DCR,36,31.9517,0.0125223,1237170.0,1.67570008E8,5244479.0,5664479.0,2.78,10.51,-7.16,1499095150,28.0897619244,1087635.73644,1.47316156E8
DGD,37,80.5967,0.0315869,464489.0,1.611934E8,2000000.0,2000000.0,0.64,5.71,1.86,1499095150,70.8551380644,408347.143548,1.41710276E8
KMD,38,1.58259,6.2024E-4,422036.0,1.59755355E8,1.0094551E8,1.0094551E8,-3.08,10.3,-8.89,1499095156,1.3913055119,371025.352752,1.40446044E8
NXT,39,0.140551,5.508E-5,6556500.0,1.40410447E8,9.98999983E8,9.98999983E8,-1.78,5.64,-16.23,1499095141,0.1235628817,5764028.958,1.23439317E8
BAT,40,0.132034,5.175E-5,3298770.0,1.32034E8,1.0E9,1.5E9,-0.48,8.49,-13.39,1499095161,0.1160753145,2900054.26764,1.16075314E8
PIVX,41,2.32789,9.1233E-4,1479940.0,1.25145745E8,5.3759304E7,5.3759304E7,-5.08,4.47,37.57,1499095150,2.0465225915,1301062.61208,1.10019629E8
SNGLS,42,0.200735,7.867E-5,654861.0,1.20441E8,6.0E8,1.0E9,6.74,16.64,18.72,1499095153,0.176472562,575709.260652,1.05883537E8
MGO,43,1.6627,6.5164E-4,702550.0,1.16389E8,7.0E7,1.0E8,-2.42,27.41,-10.97,1499095160,1.4617327764,617634.1866,1.02321294E8
1ST,44,1.3565,5.3163E-4,1.77435E7,1.1605993E8,8.5558371E7,9.3468691E7,-2.66,7.71,-9.54,1499095153,1.192542558,1.5598878642E7,1.02031998E8
BNT,45,2.8738,0.00112628,3318480.0,1.15513518E8,4.0195392E7,7.9606944E7,0.03,6.89,16.43,1499095160,2.5264495416,2917381.95936,1.0155163E8
MCAP,46,4.85059,0.00190101,294010.0,1.00799837E8,2.0780943E7,1.0E8,-0.89,5.24,3.38,1499095159,4.2643088879,258473.59932,8.8616362E7
FUN,47,0.0249603,9.78E-6,104513.0,9.5834155E7,3.839463249E9,1.7173696075E10,9.16,-1.71,0.0,1499095161,0.0219433985,91880.722716,8.4250872E7
BTCD,48,70.8892,0.0277824,2083360.0,9.1366409E7,1288862.0,1288862.0,0.47,8.86,-8.48,1499095144,62.3209641744,1831548.44352,8.0323134E7
SYS,49,0.163163,6.395E-5,2328750.0,8.5802492E7,5.25869787E8,5.25869787E8,-1.28,11.91,-13.16,1499095144,0.1434418145,2047278.645,7.5431716E7
ANT,50,2.3088,9.0485E-4,432079.0,7.758761E7,3.3605167E7,3.9609523E7,-1.01,6.5,8.49,1499095159,2.0297399616,379854.475428,6.820975E7
PPC,51,2.53207,9.9235E-4,2325870.0,6.1229945E7,2.4181774E7,2.4181774E7,-2.11,12.77,2.37,1499095140,2.2260237632,2044746.74484,5.3829204E7
LKK,52,0.371122,1.4545E-4,587423.0,6.0210035E7,1.62237849E8,1.28569E9,0.75,4.82,6.93,1499095154,0.3262652261,516422.356836,5.2932569E7
EMC,53,1.4866,5.8262E-4,1276020.0,5.9961836E7,4.0334882E7,4.0334882E7,3.66,15.16,-1.89,1499095148,1.3069176312,1121790.01464,5.2714368E7
UBQ,54,1.5022,5.8873E-4,232124.0,5.6107477E7,3.7350205E7,3.7350205E7,-0.03,6.5,-7.73,1499095144,1.3206320904,204067.636368,4.9325879E7
DICE,55,8.00175,0.00313599,411645.0,5.6025234E7,7001623.0,7001623.0,-0.25,87.44,159.02,1499095159,7.034594481,361890.29214,4.9253576E7
LEO,56,0.606026,2.3751E-4,461023.0,5.2269169E7,8.6249054E7,9.4569615E7,0.29,0.3,11.1,1499095148,0.5327768494,405300.072036,4.5951499E7
NMR,57,42.1239,0.0165089,1788210.0,5.1536537E7,1223451.0,2223451.0,-2.86,-3.26,-40.14,1499095160,37.0324684548,1572072.63372,4.5307419E7
ARK,58,0.535164,2.0974E-4,266600.0,5.1366674E7,9.5983052E7,1.27233052E8,0.06,5.02,-14.38,1499095158,0.4704797976,234376.5912,4.5158087E7
XAS,59,0.675472,2.6473E-4,1037580.0,5.06604E7,7.5E7,1.0E8,-0.13,14.7,10.73,1499095158,0.5938290503,912169.78056,4.4537179E7
ROUND,60,0.0572468,2.244E-5,299595.0,4.865978E7,8.5E8,1.0E9,-0.73,-0.79,-13.33,1499095154,0.0503274938,263383.55154,4.277837E7
RDD,61,0.00168287,6.6E-7,470391.0,4.8049664E7,2.8552213877E10,2.8552213877E10,1.41,12.75,3.67,1499095142,0.0014794649,413535.780612,4.2241997E7
NXS,62,0.92517,3.6259E-4,98856.8,4.6865302E7,5.0655882E7,5.0655882E7,-0.75,2.78,13.69,1499095146,0.8133465524,86908.1762976,4.1200787E7
EDG,63,0.572542,2.2439E-4,655316.0,4.6800893E7,8.1742288E7,1.32046997E8,-2.47,8.49,32.5,1499095157,0.5033399935,576109.265712,4.1144163E7
