sym,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,per_change_1h,per_change_24h,per_change_7d,last_updated,price_euro,vol_euro_24h,market_cap_euro
BTC,1,2607.83,1.0,1.02341E9,4.2839214585E10,1.642715E7,1.642715E7,-0.33,4.28,7.43,1499165661,2293.18748701,8.9993251327E8,3.7670534827E10
ETH,2,287.028,0.110767,7.15779E8,2.6698336159E10,9.3016487E7,9.3016487E7,0.22,1.04,14.89,1499165651,252.397210716,6.29418116313E8,2.3477101806E10
XRP,3,0.260061,1.0036E-4,6.39732E7,9.9580966E9,3.829138779E10,9.9994608423E10,-0.35,1.52,-1.74,1499165641,0.2286838602,5.62546415004E7,8.756622371E9
LTC,4,50.1237,0.0193432,8.49611E8,2.598169878E9,5.1835157E7,5.1835157E7,-0.28,7.85,31.64,1499165642,44.0761252239,7.47102884017E8,2.284692887E9
ETC,5,18.3826,0.00709402,9.34159E7,1.713666542E9,9.3222207E7,9.3222207E7,0.02,4.13,-1.46,1499165655,16.1646841622,8.21449914173E7,1.506907533E9
XEM,6,0.189962,7.331E-5,1.26622E7,1.709658E9,8.999999999E9,8.999999999E9,-0.32,19.01,24.09,1499165650,0.1670425148,1.11344675834E7,1.503382633E9
DASH,7,185.036,0.0714074,4.4922E7,1.369486005E9,7401187.0,7401187.0,-0.32,5.74,12.85,1499165669,162.710851492,3.9502025934E7,1.20425341E9
MIOTA,8,0.386628,1.492E-4,3212330.0,1.074644234E9,2.779530283E9,2.779530283E9,-0.62,6.92,1.88,1499165667,0.3399801719,2824752.74851,9.44985183E8
BTS,9,0.258573,9.979E-5,1.39159E8,6.71400309E8,2.59656E9,2.59656E9,-1.37,22.62,7.65,1499165647,0.2273753918,1.22369049173E8,5.90393847E8
XMR,10,44.7241,0.0172595,1.46466E7,6.58731989E8,1.4728792E7,1.4728792E7,-0.76,5.8,10.75,1499165646,39.3280031627,1.28794437702E7,5.79253998E8
STRAT,11,6.17376,0.00238252,5852870.0,6.07804865E8,9.8449707E7,9.8449707E7,-1.03,8.85,4.56,1499165656,5.4288773347,5146703.67589,5.34471385E8
VERI,12,280.921,0.10841,2204870.0,5.52654392E8,1967295.0,1.0E8,41.63,175.01,286.19,1499165666,247.027038587,1938845.81989,4.85974981E8
EOS,13,3.37894,0.00130397,2.51484E8,5.47656915E8,1.62079503E8,1.0E9,-6.54,-28.01,0.0,1499165667,2.9712607522,2.21141700948E8,4.81580465E8
ZEC,14,294.387,0.113607,2.05973E7,4.57019258E8,1552444.0,1552444.0,-0.64,3.54,-3.45,1499165660,258.868325289,1.81121739631E7,4.01878514E8
STEEM,15,1.82283,7.0345E-4,2104920.0,4.30183847E8,2.35997787E8,2.52971881E8,-0.4,13.35,12.24,1499165653,1.602900092,1850955.08724,3.78280875E8
ANS,16,8.11944,0.00313337,2.02813E7,4.05972E8,5.0E7,1.0E8,-0.72,3.89,40.1,1499165659,7.1398052057,1.78343003111E7,3.5699026E8
BCN,17,0.00219115,8.5E-7,922870.0,4.01183484E8,1.83092661074E11,1.83092661074E11,0.21,3.23,4.56,1499165645,0.0019267812,811522.96589,3.52779493E8
GNT,18,0.473611,1.8277E-4,5705350.0,3.94533119E8,8.33032E8,1.0E9,0.17,5.85,2.36,1499165659,0.416468412,5016982.40645,3.46931514E8
SC,19,0.0139555,5.39E-6,1.7283E7,3.83267317E8,2.7463531719E10,2.7463531719E10,-0.67,11.07,-4.52,1499165673,0.0122717271,1.5197754201E7,3.37024965E8
WAVES,20,3.79538,0.00146467,2324920.0,3.79538E8,1.0E8,1.0E8,-0.12,5.68,-5.72,1499165655,3.3374560169,2044411.42724,3.33745602E8
BCC,21,54.5633,0.0210565,2814260.0,3.72623282E8,6829193.0,6829193.0,-0.31,5.01,12.79,1499165662,47.9800741651,2474711.08822,3.27665166E8
GNO,22,334.962,0.129265,5546290.0,3.69995676E8,1104590.0,1.0E7,-0.37,-0.27,89.48,1499165665,294.547829814,4877113.47263,3.25354587E8
ICN,23,3.73088,0.00143978,2155720.0,3.2458656E8,8.7E7,1.0E8,-0.6,13.04,10.32,1499165657,3.2807381354,1895625.91484,2.85424218E8
REP,24,27.795,0.0107263,3886050.0,3.05745E8,1.1E7,1.1E7,0.41,7.62,16.92,1499165651,24.441449865,3417186.40935,2.68855949E8
XLM,25,0.0276906,1.069E-5,8274950.0,2.88438329E8,1.0416470881E10,1.03038637279E11,1.03,11.31,1.37,1499165648,0.024349646,7276552.45765,2.53637379E8
LSK,26,2.60103,0.00100376,4732220.0,2.83877494E8,1.09140415E8,1.09140415E8,-0.07,6.99,7.99,1499165659,2.2872079274,4161263.46034,2.49626822E8
DOGE,27,0.00254606,9.8E-7,6464340.0,2.80261704E8,1.10076629797E11,1.10076629797E11,-0.2,2.35,2.03,1499165643,0.0022388702,5684397.98598,2.46447289E8
FCT,28,25.5284,0.00985168,3380460.0,2.23455676E8,8753219.0,8753219.0,-1.28,12.23,9.38,1499165650,22.4483219548,2972597.35962,1.96495078E8
GAME,29,3.52256,0.00135939,3681750.0,2.23245157E8,6.3375828E7,6.3375828E7,-0.58,19.15,5.66,1499165646,3.0975525683,3237535.81725,1.96309959E8
MAID,30,0.487526,1.8814E-4,1794190.0,2.20631067E8,4.52552412E8,4.52552412E8,-0.79,9.27,12.63,1499165645,0.4287045255,1577715.59393,1.94011267E8
USDT,31,0.99874,3.8542E-4,1.04699E8,2.19703406E8,2.19980581E8,2.4495151E8,0.15,-1.41,-1.92,1499165650,0.8782390228,9.2066751553E7,1.93195531E8
GBYTE,32,858.654,0.331363,633688.0,2.19379158E8,255492.0,1000000.0,-2.7,4.19,17.67,1499165660,755.054818938,557231.641736,1.92910405E8
ARDR,33,0.202325,7.808E-5,3433020.0,2.02122573E8,9.98999495E8,9.98999495E8,1.74,11.23,-6.98,1499165656,0.1779138818,3018815.83794,1.77735878E8
SNT,34,0.0567678,2.191E-5,2.19892E7,1.9701173E8,3.470483788E9,6.804870174E9,-3.17,4.92,0.0,1499165667,0.0499185946,1.93361370524E7,1.73241673E8
DCR,35,34.5193,0.0133214,1522920.0,1.81244363E8,5250523.0,5670523.0,0.41,18.17,9.32,1499165671,30.3544428971,1339175.13324,1.59376687E8
KMD,36,1.7382,6.7079E-4,302573.0,1.75463485E8,1.0094551E8,1.0094551E8,-1.85,14.81,-0.68,1499165662,1.5284809554,266066.659831,1.5429329E8
DGB,37,0.0184483,7.12E-6,9762070.0,1.61279718E8,8.742253657E9,8.742253657E9,0.47,-5.47,-1.33,1499165642,0.0162224573,8584246.96829,1.41820836E8
DGD,38,78.6071,0.0303353,251975.0,1.572142E8,2000000.0,2000000.0,-1.17,2.82,1.73,1499165653,69.1229175637,221573.460325,1.38245835E8
NXT,39,0.156127,6.025E-5,8271730.0,1.5597087E8,9.98999983E8,9.98999983E8,1.31,17.53,-2.82,1499165647,0.1372898091,7273720.96031,1.37152517E8
BAT,40,0.136393,5.264E-5,2345700.0,1.36393E8,1.0E9,1.5E9,2.02,8.94,-3.95,1499165665,0.1199367754,2062684.2579,1.19936775E8
PIVX,41,2.36466,9.1254E-4,927959.0,1.27134744E8,5.3764492E7,5.3764492E7,-1.13,-2.03,33.41,1499165652,2.079356677,815997.962773,1.11795556E8
1ST,42,1.40437,5.4196E-4,1.28815E7,1.20155609E8,8.5558371E7,9.3468691E7,-1.12,10.52,-5.34,1499165657,1.2349285464,1.13273083805E7,1.05658474E8
BNT,43,2.92347,0.0011282,2639300.0,1.17779021E8,4.0287406E7,7.9698957E7,-0.1,5.12,18.19,1499165667,2.5707445741,2320860.5371,1.03568629E8
SNGLS,44,0.181803,7.016E-5,501685.0,1.090818E8,6.0E8,1.0E9,-2.17,9.61,4.97,1499165660,0.1598679226,441155.199695,9.5920754E7
MGO,45,1.52835,5.8981E-4,627005.0,1.069845E8,7.0E7,1.0E8,-3.11,1.21,-15.8,1499165666,1.3439499875,551354.965735,9.4076499E7
MCAP,46,4.92599,0.00190099,298884.0,1.03168657E8,2.0943741E7,1.0E8,-0.38,4.39,10.71,1499165666,4.3316545285,262822.748748,9.0721049E7
FUN,47,0.0252829,9.76E-6,122465.0,9.7072765E7,3.839463249E9,1.7173696076E10,20.96,5.69,85.0,1499165667,0.0222324423,107689.230355,8.5360645E7
BTCD,48,74.684,0.0288213,1997680.0,9.6257383E7,1288862.0,1288862.0,-0.67,11.48,2.05,1499165648,65.673151348,1756653.91496,8.4643641E7
SYS,49,0.172582,6.66E-5,1626980.0,9.0758771E7,5.25887816E8,5.25887816E8,-1.14,10.66,-4.01,1499165646,0.151759464,1430679.98206,7.9808453E7
ANT,50,2.35689,9.0955E-4,478514.0,7.9203682E7,3.3605167E7,3.9609523E7,-0.38,2.57,13.02,1499165665,2.0725241508,420779.850358,6.964752E7
NXS,51,1.48212,5.7197E-4,1447900.0,7.5107747E7,5.0675888E7,5.0675888E7,2.54,66.52,88.26,1499165648,1.3032977756,1273206.5213,6.6045772E7
UBQ,52,1.73646,6.7011E-4,871320.0,6.486881E7,3.7356927E7,3.7356927E7,1.25,21.85,11.54,1499165649,1.5269508916,766192.62804,5.7042194E7
PPC,53,2.53917,9.7989E-4,1979200.0,6.1404401E7,2.4182863E7,2.4182863E7,-0.85,3.38,6.88,1499165641,2.232811522,1740403.5824,5.3995776E7
