sym,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,per_change_1h,per_change_24h,per_change_7d,last_updated,price_euro,vol_euro_24h,market_cap_euro
BTC,1,2499.54,1.0,8.36819E8,4.1055536891E10,1.6425237E7,1.6425237E7,0.39,2.34,-1.79,1499080748,2190.06195444,7.33209092334E8,3.5972286646E10
ETH,2,283.627,0.114363,1.02305E9,2.6374542853E10,9.299024E7,9.299024E7,0.22,3.89,-0.06,1499080747,248.510006622,8.963820873E8,2.3109005205E10
XRP,3,0.256148,1.0328E-4,4.72547E7,9.8082624E9,3.829138779E10,9.9994608423E10,0.01,1.2,-11.44,1499080754,0.2244332915,4.14039065742E7,8.593862199E9
LTC,4,47.4019,0.0191133,6.05087E8,2.456369178E9,5.1820057E7,5.1820057E7,4.31,21.05,14.05,1499080741,41.5328811534,5.30168758182E8,2.152236284E9
ETC,5,17.6031,0.00709787,7.3423E7,1.64045609E9,9.3191318E7,9.3191318E7,-0.1,0.6,-14.37,1499080750,15.4235897766,6.4332204678E7,1.43734466E9
XEM,6,0.159754,6.442E-5,4258110.0,1.437786E9,8.999999999E9,8.999999999E9,0.23,6.44,-3.52,1499080755,0.1399742182,3730896.36846,1.259767964E9
DASH,7,175.015,0.0705693,4.04991E7,1.294982617E9,7399266.0,7399266.0,0.34,3.33,5.46,1499080742,153.34569279,3.54847444326E7,1.13464564E9
MIOTA,8,0.358689,1.4463E-4,3728180.0,9.96986938E8,2.779530283E9,2.779530283E9,-1.61,-6.72,-12.71,1499080757,0.3142782802,3266579.12148,8.73545997E8
EOS,9,4.51524,0.00182062,6.26847E8,6.80019375E8,1.50605366E8,1.0E9,-13.25,191.83,0.0,1499080758,3.9561900746,5.49234565542E8,5.95823456E8
XMR,10,42.2818,0.0170488,1.19564E7,6.22561362E8,1.4724098E7,1.4724098E7,0.56,3.41,-4.39,1499080743,37.0467212148,1.04760302904E7,5.4547955E8
STRAT,11,5.63102,0.00227052,4771560.0,5.54365199E8,9.8448451E7,9.8448451E7,-0.96,1.5,-14.19,1499080750,4.9338208897,4180774.07016,4.85727026E8
BTS,12,0.209271,8.438E-5,5.41148E7,5.43380522E8,2.59654E9,2.59654E9,-0.03,-0.32,-23.33,1499080745,0.1833603204,4.74146301528E7,4.76102406E8
ZEC,13,283.862,0.114458,1.75302E7,4.40679788E8,1552444.0,1552444.0,0.05,0.21,-6.73,1499080752,248.715910332,1.53597158172E7,3.86117461E8
ANS,14,7.80028,0.00314521,3.67645E7,3.90014E8,5.0E7,1.0E8,-0.14,7.24,48.33,1499080752,6.8344961321,3.2212540197E7,3.41724807E8
BCN,15,0.00212182,8.6E-7,1083170.0,3.88482596E8,1.83089326857E11,1.83089326857E11,0.25,-4.17,-15.33,1499080743,0.001859109,949058.38962,3.40383011E8
STEEM,16,1.61273,6.5028E-4,1517190.0,3.80487981E8,2.35927887E8,2.52901981E8,0.43,1.54,-10.74,1499080757,1.4130514478,1329340.63734,3.33378242E8
GNT,17,0.444351,1.7917E-4,4583090.0,3.70158602E8,8.33032E8,1.0E9,-0.57,0.48,-14.49,1499080753,0.3893341253,4015639.29474,3.24327785E8
GNO,18,335.091,0.135114,7722910.0,3.70138168E8,1104590.0,1.0E7,-0.19,9.34,65.84,1499080756,293.602042926,6766705.62126,3.24309881E8
WAVES,19,3.60743,0.00145458,2722190.0,3.60743E8,1.0E8,1.0E8,0.37,-1.07,-9.66,1499080751,3.160779662,2385144.76734,3.16077966E8
BCC,20,51.8657,0.0209132,2790060.0,3.53923874E8,6823852.0,6823852.0,-0.05,2.64,1.79,1499080754,45.4440002202,2444611.51116,3.10103143E8
SC,21,0.0125393,5.06E-6,1.52732E7,3.44046923E8,2.7437490347E10,2.7437490347E10,-0.3,1.09,-16.08,1499080747,0.0109867591,1.33821640152E7,3.01449097E8
ICN,22,3.36356,0.00135625,2257870.0,2.9262972E8,8.7E7,1.0E8,5.28,0.69,-10.11,1499080751,2.9471041822,1978314.08382,2.56398064E8
REP,23,25.799,0.0104026,1801510.0,2.83789E8,1.1E7,1.1E7,0.01,4.33,0.27,1499080748,22.604722614,1578457.84086,2.48651949E8
DOGE,24,0.00251361,1.01E-6,6724340.0,2.76654954E8,1.10062799905E11,1.10062799905E11,1.79,6.44,-10.98,1499080741,0.0022023899,5891772.56724,2.42401198E8
LSK,25,2.4292,9.795E-4,4202290.0,2.65026327E8,1.0910025E8,1.0910025E8,-0.24,4.64,-14.68,1499080748,2.1284310312,3681987.66594,2.32212358E8
XLM,26,0.0248335,1.001E-5,7240480.0,2.57672814E8,1.0376016822E10,1.03038637279E11,-0.15,4.02,-21.92,1499080746,0.021758765,6344007.20928,2.25769312E8
USDT,27,1.0144,4.0902E-4,7.03441E7,2.23148312E8,2.19980591E8,2.4495151E8,0.13,-0.37,-0.7,1499080747,0.8888030784,6.16345156026E7,1.95519427E8
GBYTE,28,830.657,0.334936,770823.0,2.12226151E8,255492.0,1000000.0,2.59,-0.39,6.29,1499080753,727.810034202,675384.321078,1.85949582E8
VERI,29,104.14,0.041991,640739.0,2.04874069E8,1967295.0,1.0E8,14.21,23.21,31.19,1499080758,91.24601004,561406.541454,1.79507791E8
