sym,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,per_change_1h,per_change_24h,per_change_7d,last_updated,price_euro,vol_euro_24h,market_cap_euro
BTC,1,2616.11,1.0,9.79758E8,4.2975623803E10,1.64273E7,1.64273E7,0.04,3.0,8.61,1499172857,2304.49990568,8.63057065104E8,3.7856711301E10
ETH,2,285.701,0.109833,6.68883E8,2.6575533162E10,9.3018691E7,9.3018691E7,-0.4,0.07,17.47,1499172849,251.670582488,5.89211008104E8,2.3410068256E10
XRP,3,0.260814,1.0027E-4,6.00844E7,9.986930015E9,3.829138779E10,9.9994608423E10,-0.2,1.2,-0.02,1499172841,0.2297479228,5.29276269472E7,8.797366807E9
LTC,4,50.4897,0.0194099,7.7883E8,2.617212231E9,5.1836557E7,5.1836557E7,-0.1,6.17,34.37,1499172842,44.4757708536,6.8606200104E8,2.305470848E9
ETC,5,18.4578,0.00709577,9.00238E7,1.720721594E9,9.3224631E7,9.3224631E7,0.42,3.23,2.76,1499172854,16.2592545264,7.93008851344E7,1.515763004E9
XEM,6,0.190182,7.311E-5,1.29832E7,1.711638E9,8.999999999E9,8.999999999E9,-0.12,17.12,26.69,1499172848,0.1675290416,1.14367450816E7,1.507761374E9
DASH,7,186.471,0.0716854,4.40446E7,1.380141644E9,7401374.0,7401374.0,0.13,5.23,15.85,1499172863,164.260066248,3.87983596048E7,1.215750212E9
MIOTA,8,0.394719,1.5174E-4,3252490.0,1.097133414E9,2.779530283E9,2.779530283E9,1.5,7.62,5.35,1499172861,0.3477032305,2865079.41112,9.66451659E8
BTS,9,0.259124,9.962E-5,1.32128E8,6.72833605E8,2.59657E9,2.59657E9,-0.51,14.11,10.39,1499172846,0.2282592221,1.16389969664E8,5.92691048E8
XMR,10,45.173,0.017366,1.43882E7,6.65382814E8,1.4729657E7,1.4729657E7,0.42,5.32,12.85,1499172844,39.792353624,1.26743927216E7,5.86127736E8
STRAT,11,6.23722,0.00239779,5848900.0,6.14053145E8,9.8449813E7,9.8449813E7,0.76,7.5,8.36,1499172853,5.4942922514,5152225.8232,5.40912047E8
EOS,12,3.53797,0.00136011,2.29703E8,5.74788028E8,1.62462663E8,1.0E9,3.52,-14.05,0.0,1499172862,3.1165553174,2.02342616264E8,5.06323877E8
ZEC,13,296.163,0.113855,2.08411E7,4.59776398E8,1552444.0,1552444.0,0.15,2.87,0.2,1499172866,260.886432744,1.83586748968E7,4.05011512E8
WAVES,14,4.39103,0.00168806,3439900.0,4.39103E8,1.0E8,1.0E8,3.77,20.56,10.31,1499172852,3.8680056346,3030166.6312,3.86800563E8
STEEM,15,1.82133,7.0018E-4,2277500.0,4.29834052E8,2.36000095E8,2.52974189E8,0.65,12.93,14.87,1499172851,1.604387741,2006222.42,3.78635659E8
ANS,16,8.16571,0.00313917,1.96874E7,4.082855E8,5.0E7,1.0E8,0.46,1.19,34.94,1499172866,7.1930759505,1.73423944112E7,3.59653798E8
BCN,17,0.00215875,8.3E-7,874669.0,3.95252222E8,1.83093096289E11,1.83093096289E11,-0.81,1.41,5.97,1499172844,0.001901617,770485.426072,3.48172939E8
GNT,18,0.473868,1.8217E-4,5481770.0,3.94747208E8,8.33032E8,1.0E9,0.27,4.03,4.52,1499172857,0.4174246348,4828825.41176,3.47728078E8
VERI,19,200.341,0.0770177,2176910.0,3.94129785E8,1967295.0,1.0E8,0.56,72.0,173.4,1499172861,176.477982808,1917613.89608,3.47184198E8
SC,20,0.0139606,5.37E-6,1.37191E7,3.83438754E8,2.7465778989E10,2.7465778989E10,0.05,3.51,-2.28,1499172849,0.012297725,1.20849905608E7,3.37766597E8
BCC,21,54.7754,0.0210575,2804430.0,3.74098674E8,6829684.0,6829684.0,0.29,4.05,14.21,1499172856,48.2509925552,2470388.73384,3.29539033E8
GNO,22,335.777,0.129084,5268430.0,3.70895916E8,1104590.0,1.0E7,-0.1,-1.86,91.21,1499172860,295.781929976,4640896.76584,3.26717762E8
