sym,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,per_change_1h,per_change_24h,per_change_7d,last_updated,price_euro,vol_euro_24h,market_cap_euro
BTC,1,2613.94,1.0,9.33235E8,4.2940434002E10,1.6427475E7,1.6427475E7,-0.15,1.37,9.93,1499180056,2302.58837872,8.2207551268E8,3.7825713027E10
ETH,2,282.293,0.108589,5.97491E8,2.6259172883E10,9.3020985E7,9.3020985E7,-0.34,-1.93,18.53,1499180049,248.668516184,5.26322652008E8,2.3131390283E10
XRP,3,0.258402,9.94E-5,5.11047E7,9.894571188E9,3.829138779E10,9.9994608423E10,-0.8,-0.83,0.25,1499180040,0.227623221,4.50175169736E7,8.716009024E9
LTC,4,52.5822,0.0202267,9.14821E8,2.725735438E9,5.1837607E7,5.1837607E7,0.0,10.05,40.78,1499180041,46.3190289936,8.05854841048E8,2.401067639E9
ETC,5,18.3512,0.00705911,8.3843E7,1.710832552E9,9.3227285E7,9.3227285E7,-0.72,1.57,4.99,1499180065,16.1653518656,7.3856292584E7,1.507051865E9
XEM,6,0.186057,7.157E-5,1.29686E7,1.674513E9,8.999999999E9,8.999999999E9,-1.64,11.91,25.26,1499180046,0.1638953786,1.14238841168E7,1.475058407E9
DASH,7,186.803,0.0718571,4.33822E7,1.382629187E9,7401536.0,7401536.0,-0.09,3.55,18.26,1499180062,164.552521064,3.82148593936E7,1.217941459E9
MIOTA,8,0.395151,1.52E-4,3010490.0,1.098334171E9,2.779530283E9,2.779530283E9,-0.71,4.83,7.73,1499180059,0.3480837741,2651904.51512,9.67509391E8
XMR,9,44.8804,0.017264,1.36136E7,6.6107387E8,1.4729679E7,1.4729679E7,-0.28,2.84,13.89,1499180044,39.5346057952,1.19920568768E7,5.8233204E8
BTS,10,0.253377,9.747E-5,8.98386E7,6.57911117E8,2.59657E9,2.59657E9,-1.8,4.41,9.58,1499180045,0.2231967588,7.91377446768E7,5.79546008E8
STRAT,11,6.43176,0.00247409,6259480.0,6.33206285E8,9.8449924E7,9.8449924E7,-0.05,7.98,13.94,1499180052,5.6656602029,5513900.81824,5.57783818E8
EOS,12,3.10672,0.00119506,1.99835E8,5.05517794E8,1.62717527E8,1.0E9,-7.1,-22.6,0.0,1499180060,2.7366723674,1.7603225348E8,4.45304559E8
ZEC,13,293.161,0.11277,1.97931E7,4.55115962E8,1552444.0,1552444.0,-0.47,0.73,1.72,1499180055,258.242006968,1.74355042728E7,4.0090619E8
WAVES,14,4.26115,0.00163913,4014830.0,4.26115E8,1.0E8,1.0E8,-3.57,14.12,10.15,1499180051,3.7535959012,3536615.56904,3.7535959E8
STEEM,15,1.79052,6.8876E-4,2182400.0,4.22577521E8,2.36008266E8,2.5298236E8,-1.06,8.5,14.47,1499180050,1.5772475818,1922449.9712,3.72243467E8
