sym,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,per_change_1h,per_change_24h,per_change_7d,last_updated,price_euro,vol_euro_24h,market_cap_euro
BTC,1,2619.7,1.0,1.03444E9,4.303328796E10,1.64268E7,1.64268E7,-0.12,4.7,6.07,1499149761,2303.6253359,9.0963171068E8,3.7841192668E10
ETH,2,285.593,0.109375,7.83042E8,2.6563433328E10,9.30115E7,9.30115E7,0.3,-0.66,9.41,1499149769,251.135347771,6.88565633574E8,2.3358475407E10
XRP,3,0.2603,9.969E-5,6.37568E7,9.967248242E9,3.829138779E10,9.9994608423E10,-0.39,1.38,-4.06,1499149741,0.2288940241,5.60643508096E7,8.76466984E9
LTC,4,50.9502,0.0195127,8.88436E8,2.640862606E9,5.1832232E7,5.1832232E7,-0.13,12.67,28.2,1499149742,44.8029055194,7.81243531292E8,2.32223461E9
ETC,5,18.2733,0.00699824,8.02375E7,1.703371754E9,9.3216428E7,9.3216428E7,0.93,2.54,-6.48,1499149754,16.0685715351,7.05566049125E7,1.497854842E9
XEM,6,0.18703,7.163E-5,1.17441E7,1.68327E9,8.999999999E9,8.999999999E9,-0.93,17.21,16.74,1499149750,0.1644642694,1.03271391027E7,1.480178425E9
DASH,7,185.456,0.0710252,4.53875E7,1.372530357E9,7400841.0,7400841.0,0.54,6.41,11.32,1499149767,163.080177232,3.99113619625E7,1.206930452E9
MIOTA,8,0.386481,1.4801E-4,3751880.0,1.074235643E9,2.779530283E9,2.779530283E9,0.48,5.15,0.55,1499149761,0.3398509079,3299204.42236,9.4462589E8
BTS,9,0.256917,9.839E-5,1.31163E8,6.67100406E8,2.59656E9,2.59656E9,-0.15,20.47,1.73,1499149746,0.2259191932,1.15337790561E8,5.8661274E8
XMR,10,45.1765,0.0173015,1.49178E7,6.65360051E8,1.4728012E7,1.4728012E7,0.51,6.02,8.56,1499149744,39.7258197455,1.31179226766E7,5.85082365E8
EOS,11,3.99101,0.00152846,3.59073E8,6.41272307E8,1.60679203E8,1.0E9,8.32,-8.52,0.0,1499149763,3.5094826705,3.15749765331E8,5.6390088E8
STRAT,12,6.18229,0.00236767,5501110.0,6.08643207E8,9.8449475E7,9.8449475E7,1.9,6.8,-3.13,1499149754,5.4363781646,4837384.57517,5.35208578E8
ZEC,13,295.315,0.113099,1.9771E7,4.58459926E8,1552444.0,1552444.0,0.44,2.56,-7.19,1499149756,259.684359305,1.7385569537E7,4.03145361E8
ANS,14,8.189,0.00313619,2.29917E7,4.0945E8,5.0E7,1.0E8,-0.26,3.41,51.83,1499149755,7.200972583,2.02176824199E7,3.60048629E8
BCN,15,0.00218427,8.4E-7,1060590.0,3.99922673E8,1.83092141783E11,1.83092141783E11,0.11,1.12,-2.79,1499149744,0.0019207313,932626.63473,3.51670802E8
STEEM,16,1.68494,6.4529E-4,1681680.0,3.97622701E8,2.35986267E8,2.52960361E8,1.0,4.75,-1.11,1499149752,1.4816469342,1478780.26296,3.4964833E8
GNT,17,0.47355,1.8136E-4,5390160.0,3.94482304E8,8.33032E8,1.0E9,-0.03,2.55,-3.15,1499149756,0.4164147719,4739821.02552,3.4688683E8
WAVES,18,3.85855,0.00147773,2429120.0,3.85855E8,1.0E8,1.0E8,-1.01,9.33,-6.41,1499149753,3.3930043669,2136039.38464,3.39300437E8
SC,19,0.0140028,5.36E-6,1.91879E7,3.845034E8,2.7459036747E10,2.7459036747E10,0.38,10.56,-8.28,1499149749,0.0123133202,1.68728223013E7,3.38111911E8
BCC,20,54.7681,0.0209749,3164410.0,3.73968539E8,6828218.0,6828218.0,0.18,5.62,11.61,1499149758,48.1601644307,2782614.44027,3.28848113E8
GNO,21,333.237,0.127622,6267960.0,3.68090258E8,1104590.0,1.0E7,-0.94,-0.25,82.07,1499149760,293.030956239,5511711.82212,3.23679064E8
VERI,22,167.88,0.064294,2085270.0,3.30269433E8,1967295.0,1.0E8,0.67,86.1,125.02,1499149761,147.62477436,1833675.91869,2.90421435E8
REP,23,27.9006,0.0106853,3454210.0,3.069066E8,1.1E7,1.1E7,-1.07,7.47,13.47,1499149750,24.5343089082,3037449.20087,2.69877398E8
ICN,24,3.50522,0.00134241,1782630.0,3.0495414E8,8.7E7,1.0E8,0.78,3.46,-2.2,1499149756,3.0823046913,1567550.34261,2.68160508E8
XLM,25,0.0276521,1.059E-5,8049260.0,2.8800484E8,1.0415297226E10,1.03038637279E11,1.67,10.61,-3.15,1499149748,0.0243157912,7078092.63322,2.53256192E8
DOGE,26,0.00258783,9.9E-7,7506780.0,2.84859605E8,1.10076629797E11,1.10076629797E11,0.13,5.93,-0.08,1499149742,0.0022756005,6601064.47266,2.50490439E8
LSK,27,2.58837,9.9128E-4,4678190.0,2.82476363E8,1.09132915E8,1.09132915E8,0.96,4.93,0.43,1499149752,2.2760753944,4113752.34193,2.48394743E8
GAME,28,3.5606,0.00136362,3789670.0,2.25649137E8,6.3373908E7,6.3373908E7,1.92,19.31,3.49,1499149745,3.1310029282,3332434.94549,1.98423892E8
GBYTE,29,871.78,0.333871,780806.0,2.22732745E8,255492.0,1000000.0,-0.66,5.37,17.8,1499149757,766.59712766,686599.413682,1.95859371E8
USDT,30,0.994984,3.8105E-4,9.95928E7,2.18877159E8,2.19980581E8,2.4495151E8,-0.06,-1.69,-1.78,1499149747,0.8749361954,8.75766299016E7,1.92468973E8
MAID,31,0.483516,1.8517E-4,1648430.0,2.18816332E8,4.52552412E8,4.52552412E8,0.17,6.97,7.63,1499149744,0.4251783441,1449541.97521,1.92415485E8
SNT,32,0.0630462,2.415E-5,3.30989E7,2.18800815E8,3.470483788E9,6.804870174E9,2.66,18.1,0.0,1499149763,0.0554394868,2.91054184183E7,1.9240184E8
FCT,33,24.8128,0.00950269,1983850.0,2.17191872E8,8753219.0,8753219.0,0.61,8.52,0.94,1499149752,21.8190612416,1744492.54595,1.90987021E8
ARDR,34,0.205173,7.858E-5,3400530.0,2.04967723E8,9.98999495E8,9.98999495E8,-1.55,9.91,-11.26,1499149754,0.180418262,2990245.85391,1.80237753E8
KMD,35,1.78839,6.8491E-4,303929.0,1.80529941E8,1.0094551E8,1.0094551E8,3.08,15.93,-0.85,1499149757,1.5726153813,267259.054363,1.58748462E8
DCR,36,33.6612,0.0128914,1348580.0,1.7670002E8,5249368.0,5669368.0,1.61,14.54,0.62,1499149752,29.5998752364,1185869.77726,1.55380632E8
DGD,37,80.755,0.0309272,335555.0,1.6151E8,2000000.0,2000000.0,1.65,4.82,-1.49,1499149752,71.011666985,295069.282585,1.42023334E8
NXT,38,0.160673,6.153E-5,7263690.0,1.60512324E8,9.98999983E8,9.98999983E8,4.37,17.36,-3.36,1499149748,0.1412873205,6387304.01043,1.41146031E8
DGB,39,0.0182803,7.0E-6,1.23661E7,1.5981102E8,8.742253657E9,8.742253657E9,-2.35,-0.65,-4.91,1499149742,0.016074727,1.08740929367E7,1.40529341E8
