sym,name,rank,price_usd,price_btc,percent_change1h,percent_change1d,vol,last_up
MOON,mooncoin,73,1.2499E-4,5.0E-8,2.0,-17.99,171440.0,1497518945
TRST,trust,74,0.298814,1.2282E-4,0.99,-14.94,286066.0,1497518990
NMC,namecoin,75,1.86226,7.6543E-4,1.55,-10.18,767063.0,1497518940
XZC,zcoin,76,11.6911,0.00480528,-0.79,2.68,2787310.0,1497518979
HMQ,humaniq,77,0.186118,7.65E-5,1.25,-11.16,502236.0,1497518992
BAY,bitbay,78,0.026349,1.083E-5,0.67,-14.96,136289.0,1497518958
BURST,burst,79,0.0148,6.08E-6,0.58,-8.06,1835970.0,1497518955
GUP,guppy,80,0.342359,1.4072E-4,-2.3,-7.75,458763.0,1497518989
IOC,iocoin,81,1.53134,6.2942E-4,1.65,-20.79,177778.0,1497518954
EXP,expanse,82,3.37066,0.00138541,2.58,-10.37,376597.0,1497518968
VTC,vertcoin,83,0.739999,3.0416E-4,-0.66,-9.91,1550220.0,1497518945
MCAP,mcap,84,4.23612,0.00174114,0.21,-19.46,293791.0,1497518993
QAU,quantum,85,0.292173,1.2009E-4,0.1,-5.64,65364.3,1497518994
EDG,edgeless,86,0.294063,1.2087E-4,0.35,-13.54,410934.0,1497518988
YBC,ybcoin,87,7.86219,0.00323153,0.58,-6.63,3337900.0,1497518945
TAAS,taas,88,2.75796,0.00113358,0.38,-10.87,189314.0,1497518988
EAC,earthcoin,89,0.00239286,9.8E-7,-1.62,-7.46,3716600.0,1497518944
UNITY,supernet-unity,90,26.7218,0.0109832,5.62,-50.42,2633.45,1497518956
BCAP,bcap,91,2.15998,8.878E-4,0.92,-16.87,120479.0,1497518991
NAV,nav-coin,92,0.35125,1.4437E-4,-0.62,-12.01,621420.0,1497518952
TKN,tokencard,93,0.850126,3.4942E-4,-2.49,-15.71,362495.0,1497518991
NOTE,dnotes,94,0.160999,6.617E-5,1.53,-19.63,475726.0,1497518948
VSL,vslice,95,0.564471,2.3201E-4,2.15,-10.86,386747.0,1497518982
NXC,nexium,96,0.274808,1.1295E-4,-0.04,-17.02,227988.0,1497518982
RADS,radium,97,5.53422,0.00227469,-1.15,-15.66,706059.0,1497518968
BLOCK,blocknet,98,4.6073,0.0018937,-0.15,-15.22,57876.8,1497518958
