sym,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,per_change_1h,per_change_24h,per_change_7d,last_updated,price_euro,vol_euro_24h,market_cap_euro
BTC,1,2502.25,1.0,8.13538E8,4.1099236052E10,1.6424912E7,1.6424912E7,-0.27,2.49,-2.13,1499069948,2192.4364185,7.12810606068E8,3.6010575239E10
ETH,2,283.053,0.114283,1.07761E9,2.6320176566E10,9.2986743E7,9.2986743E7,-1.39,3.41,-1.65,1499069947,248.007075858,9.4418679546E8,2.3061370225E10
XRP,3,0.256219,1.0345E-4,4.88793E7,9.810981088E9,3.829138779E10,9.9994608423E10,-0.1,0.98,-12.21,1499069953,0.2244955007,4.28273583498E7,8.596244276E9
LTC,4,45.4519,0.0183513,4.99609E8,2.355241661E9,5.1818332E7,5.1818332E7,-0.35,16.66,7.03,1499069941,39.8243184534,4.37750411274E8,2.06362977E9
ETC,5,17.6871,0.00714122,7.72521E7,1.648216667E9,9.3187502E7,9.3187502E7,-0.36,-0.74,-15.38,1499069951,15.4971894006,6.76872084906E7,1.444144368E9
XEM,6,0.159553,6.442E-5,4322880.0,1.435977E9,8.999999999E9,8.999999999E9,-0.32,6.42,-6.2,1499069945,0.1397981049,3787646.93568,1.258182944E9
DASH,7,174.192,0.0703306,3.68459E7,1.288854737E9,7399047.0,7399047.0,-0.47,3.02,3.16,1499069942,152.624591712,3.22838617374E7,1.129276477E9
MIOTA,8,0.369803,1.4931E-4,3579210.0,1.027878637E9,2.779530283E9,2.779530283E9,1.13,-5.85,-9.53,1499069957,0.3240162114,3136053.69306,9.00612872E8
EOS,9,4.58799,0.00185241,6.38044E8,6.90975915E8,1.50605366E8,1.0E9,2.05,276.96,0.0,1499069958,4.0199326061,5.59045220184E8,6.05423423E8
XMR,10,42.043,0.016975,1.22332E7,6.19020193E8,1.4723502E7,1.4723502E7,-0.64,1.88,-7.01,1499069943,36.837487998,1.07185585752E7,5.42376827E8
STRAT,11,5.70876,0.00230492,4609840.0,5.62017662E8,9.844829E7,9.844829E7,-0.77,2.64,-14.55,1499069952,5.0019355894,4039077.27024,4.92432007E8
