sym,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,per_change_1h,per_change_24h,per_change_7d,last_updated,price_euro,vol_euro_24h,market_cap_euro
BTC,1,2541.74,1.0,9.00676E8,4.1749223283E10,1.642545E7,1.642545E7,0.99,4.44,0.63,1499087948,2234.52496968,7.91813093232E8,3.6703078163E10
ETH,2,284.475,0.112772,1.04189E9,2.6454053314E10,9.2992542E7,9.2992542E7,0.1,4.94,1.58,1499087947,250.0910757,9.1595883948E8,2.3256604798E10
XRP,3,0.257951,1.0226E-4,5.14012E7,9.877301772E9,3.829138779E10,9.9994608423E10,0.74,1.81,-10.52,1499087953,0.2267729785,4.51884397584E7,8.683452061E9
LTC,4,47.5381,0.0188452,6.75376E8,2.463476984E9,5.1821107E7,5.1821107E7,0.49,20.9,16.82,1499087941,41.7922649292,5.93744653632E8,2.165721448E9
ETC,5,17.9054,0.00709809,7.9087E7,1.668674684E9,9.3193935E7,9.3193935E7,1.38,3.06,-11.47,1499087952,15.7412101128,6.9527912484E7,1.466985312E9
XEM,6,0.163697,6.489E-5,4451140.0,1.473273E9,8.999999999E9,8.999999999E9,2.33,9.63,0.55,1499087946,0.143911271,3913139.61048,1.295201439E9
DASH,7,177.835,0.0704977,4.20949E7,1.315876741E9,7399425.0,7399425.0,1.1,5.34,7.74,1499087942,156.34043922,3.70069736268E7,1.156829351E9
MIOTA,8,0.365117,1.4474E-4,3927080.0,1.014853758E9,2.779530283E9,2.779530283E9,0.05,-1.87,-10.4,1499087958,0.3209860384,3452421.69456,8.92190414E8
EOS,9,4.28917,0.00170032,5.58642E8,6.4597202E8,1.50605366E8,1.0E9,5.58,90.23,0.0,1499087959,3.7707466004,4.91120058744E8,5.67894674E8
XMR,10,42.7523,0.0169479,1.19604E7,6.29508714E8,1.4724558E7,1.4724558E7,0.44,4.68,-1.38,1499087943,37.5849150036,1.05147703728E7,5.53421255E8
BTS,11,0.230529,9.139E-5,6.83732E7,5.9857777E8,2.59654E9,2.59654E9,7.83,13.52,-12.9,1499087943,0.2026654208,6.01090680624E7,5.26228872E8
STRAT,12,5.75132,0.00227995,4997790.0,5.66209157E8,9.8448557E7,9.8448557E7,0.21,4.45,-10.7,1499087952,5.0561694542,4393717.11828,4.97772589E8
ZEC,13,287.241,0.113869,2.18799E7,4.45925495E8,1552444.0,1552444.0,-0.15,3.18,-5.26,1499087953,252.522754812,1.92353202468E7,3.92027372E8
ANS,14,8.19001,0.0032467,3.81347E7,4.095005E8,5.0E7,1.0E8,4.32,17.12,63.26,1499087951,7.2000998713,3.35254350804E7,3.60004994E8
BCN,15,0.00210841,8.4E-7,1004370.0,3.86028099E8,1.83089673782E11,1.83089673782E11,-0.79,-4.18,-15.14,1499087944,0.0018535707,882973.80684,3.39369655E8
STEEM,16,1.61384,6.3976E-4,1613480.0,3.8076341E8,2.35936283E8,2.52910377E8,0.84,2.36,-8.69,1499087950,1.4187783869,1418461.89936,3.34741299E8
GNT,17,0.45487,1.8032E-4,4608640.0,3.78921266E8,8.33032E8,1.0E9,2.4,6.44,-10.24,1499087953,0.3998907728,4051602.90048,3.3312181E8
GNO,18,342.44,0.135751,7241590.0,3.782558E8,1104590.0,1.0E7,1.08,10.12,70.68,1499087957,301.04996208,6366313.49988,3.32536778E8
SC,19,0.0134524,5.33E-6,1.93722E7,3.69125307E8,2.7439364472E10,2.7439364472E10,2.31,12.17,-8.6,1499087948,0.0118264353,1.70307209304E7,3.24509869E8
WAVES,20,3.65895,0.00145049,2753260.0,3.65895E8,1.0E8,1.0E8,1.23,0.61,-7.39,1499087950,3.2167000314,2420478.97032,3.21670003E8
BCC,21,52.6598,0.0208755,2996060.0,3.59376827E8,6824500.0,6824500.0,0.92,4.71,3.89,1499087954,46.2949152936,2633932.21992,3.15939668E8
ICN,22,3.46945,0.00137537,2318380.0,3.0184215E8,8.7E7,1.0E8,5.36,6.93,-6.97,1499087952,3.0501045174,2038162.04616,2.65359093E8
REP,23,26.7184,0.0105918,1923190.0,2.939024E8,1.1E7,1.1E7,3.14,8.52,5.58,1499087948,23.4890004288,1690737.87108,2.58379005E8
DOGE,24,0.00253635,1.01E-6,7271160.0,2.79157783E8,1.10062799905E11,1.10062799905E11,2.27,8.03,-8.38,1499087942,0.0022297864,6392309.43312,2.4541654E8
LSK,25,2.45514,9.7327E-4,4153370.0,2.67864833E8,1.0910369E8,1.0910369E8,0.95,3.11,-11.56,1499087949,2.1583921385,3651360.47484,2.35488547E8
XLM,26,0.0253379,1.004E-5,7520370.0,2.62945749E8,1.037756676E10,1.03038637279E11,0.93,5.41,-19.42,1499087943,0.0222753587,6611397.91884,2.31164022E8
VERI,27,115.114,0.0456337,741591.0,2.26463161E8,1967295.0,1.0E8,-11.77,43.04,44.53,1499087958,101.200401048,651956.379012,1.99091012E8
USDT,28,1.00213,3.9727E-4,7.65859E7,2.2044915E8,2.19980591E8,2.4495151E8,-0.7,-1.79,-2.08,1499087946,0.8810045512,6.73291154388E7,1.93803902E8
MAID,29,0.463805,1.8386E-4,1778740.0,2.09896071E8,4.52552412E8,4.52552412E8,3.66,6.47,0.64,1499087942,0.4077458173,1563747.25368,1.84526353E8
GBYTE,30,808.473,0.320497,812234.0,2.06558318E8,255492.0,1000000.0,-2.01,-5.99,5.4,1499087953,710.754485436,714060.900888,1.81592027E8
FCT,31,23.1309,0.00916958,2852520.0,2.02469833E8,8753219.0,8753219.0,2.88,7.14,-9.54,1499087947,20.3351143788,2507741.61264,1.7799771E8
SNT,32,0.0559367,2.217E-5,2.48536E7,1.94127411E8,3.470483788E9,6.804870174E9,0.53,35.4,0.0,1499087959,0.0491757429,2.18495950752E7,1.70663619E8
